date,season_sin,season_cos,weekend,calendar_day,pv_mean_3d,pv_lag_1d,pv_std_3d,pv_trend_3d,load_mean_3d
2025-01-01,0,1,0,0,,,,,
2025-01-02,0,1,0,1,,35250.982366666649,,,
2025-01-03,0,1,0,2,,34771.83921666666,,,
2025-01-04,0,1,1,3,35467.145644444427,36378.615349999985,673.5365902741155,563.8164916666683,112275.59586111108
2025-01-05,0,1,1,4,36092.194088888878,37126.127699999997,982.24111764927488,1177.1442416666687,97144.121755555549
2025-01-06,0,1,0,5,36714.383861111106,36638.408533333335,309.86326680631754,129.89659166667479,97149.801872222219
2025-01-07,0,1,0,6,36652.915083333333,36194.209016666675,380.5924662777665,-465.9593416666612,112130.84633888888
2025-01-08,0,1,0,7,35731.059583333335,34360.561200000004,985.90995758272618,-1138.9236666666657,127142.75703333334
2025-01-09,0,1,0,8,35908.237616666673,37169.942633333325,1164.614597396336,487.86680833332503,126816.69873888891
2025-01-10,0,1,0,9,35835.188638888882,35975.062083333323,1151.1818404969838,807.25044166665975,126896.67476666666
2025-01-11,0,1,1,10,36380.325472222212,35995.971699999995,558.40889967725298,-586.98546666666516,111749.7335222222
2025-01-12,0,1,1,11,36238.447377777768,36744.308349999985,357.79956719786287,384.62313333333077,96721.150527777732
2025-01-13,0,1,0,12,36131.239538888884,35653.438566666664,455.50138106314364,-171.26656666666531,96538.720116666649
2025-01-14,0,1,0,13,37034.716577777777,38706.402816666669,1263.1707147796226,981.04723333334186,111703.29390555555
2025-01-15,0,1,0,14,37396.339688888896,37829.177683333342,1283.3963339567786,1087.8695583333392,126869.72578888889
2025-01-16,0,1,0,15,37809.712177777779,36893.556033333341,740.21958201172231,-906.42339166666352,127017.91645555553
2025-01-17,0,1,0,16,37485.448816666671,37733.612733333328,420.34586167320668,-47.782475000007253,126960.38458888885
2025-01-18,0,1,1,17,37604.710499999994,38186.962733333334,535.84018899914895,646.70334999999614,111549.24644999998
2025-01-19,0,1,1,18,37962.041316666669,37965.548483333347,185.09597652487597,115.96787500000937,96297.299294444427
2025-01-20,0,1,0,19,37893.405988888888,37527.70674999999,273.9318863254453,-329.62799166667173,96098.326638888859
2025-01-21,0,1,0,20,37997.28161111111,38498.589599999992,396.99590313165373,266.5205583333227,111328.18995555553
2025-01-22,0,1,0,21,39433.512516666662,42274.241199999989,2047.4305794239885,2373.2672249999996,126175.55275000002
2025-01-23,0,1,0,22,39517.884994444445,37780.824183333345,1970.9424898204072,-358.88270833332354,126331.80019444448
2025-01-24,0,1,0,23,38948.19031111111,36789.505550000002,2386.4393343511351,-2742.3678249999939,126261.72186111113
2025-01-25,0,1,1,24,38360.150761111108,40510.122549999985,1573.2052584796577,1364.6491833333203,111124.85179999999
2025-01-26,0,1,1,25,39830.705638888881,42192.488816666664,2257.470937324616,2701.4916333333313,95775.677044444441
2025-01-27,0,1,0,26,40462.889994444435,38686.058616666654,1431.8836946708577,-912.03196666666554,95785.549544444439
2025-01-28,0,1,0,27,40775.526961111107,41448.033450000003,1508.4123927861876,-372.22768333333079,110886.68772222222
2025-01-29,0,1,0,28,39883.434544444441,39516.211566666665,1157.0842036624663,415.0764750000053,126174.86993888886
2025-01-30,0,1,0,29,41668.162944444448,44040.243816666669,1853.4759589311207,1296.1051833333331,125855.00201111112
2025-01-31,0,1,0,30,41941.640849999996,42268.467166666655,1861.3308018206769,1376.1277999999947,125977.70191666666
