stage,feature,date,es_before,es_after,relative_improvement_pct
structural,season,2025-01-24,16156.628526901741,16156.628526901741,0
structural,season,2025-01-25,17179.303373643714,17179.303373643714,0
structural,season,2025-01-26,3050.9602516202758,3050.9602516202758,0
structural,season,2025-01-27,3555.9612805969191,3555.9612805969191,0
structural,season,2025-01-28,2947.5966125227951,2947.5966125227951,0
structural,season,2025-01-29,4188.2038943306561,4188.2038943306561,0
structural,season,2025-01-30,3623.5508306879947,3623.5508306879947,0
structural,season,2025-01-31,16589.533802222984,16589.533802222984,0
forward,weekend,2025-01-24,16156.628526901741,19417.296201992911,-20.181609484070059
forward,weekend,2025-01-25,17179.303373643714,11835.329668347891,31.107045431740175
forward,weekend,2025-01-26,3050.9602516202758,5612.1903387540979,-83.948326949642421
forward,weekend,2025-01-27,3555.9612805969191,3133.3087131597513,11.885747174564834
forward,weekend,2025-01-28,2947.5966125227951,2296.2568066598124,22.097318306574952
forward,weekend,2025-01-29,4188.2038943306561,3979.9831147209534,4.9716008308850457
forward,weekend,2025-01-30,3623.5508306879947,3171.3346808007418,12.479917379864427
forward,weekend,2025-01-31,16589.533802222984,19856.119099140931,-19.690639507182695
forward,pv_mean_3d,2025-01-24,16156.628526901741,18951.517938342491,-17.298716788512493
forward,pv_mean_3d,2025-01-25,17179.303373643714,18317.408728918221,-6.6248632469031019
forward,pv_mean_3d,2025-01-26,3050.9602516202758,1975.4995578516482,35.249908391873731
forward,pv_mean_3d,2025-01-27,3555.9612805969191,3462.4803244823188,2.6288519119901155
forward,pv_mean_3d,2025-01-28,2947.5966125227951,2100.4438898660264,28.740456514899638
forward,pv_mean_3d,2025-01-29,4188.2038943306561,4219.6686303173465,-0.75127039610660928
forward,pv_mean_3d,2025-01-30,3623.5508306879947,4207.8316087000894,-16.124536547515707
forward,pv_mean_3d,2025-01-31,16589.533802222984,26954.383368548035,-62.478244957891278
forward,recency,2025-01-24,16156.628526901741,18091.776630341468,-11.977425242015014
forward,recency,2025-01-25,17179.303373643714,19484.274878443313,-13.417141863481262
forward,recency,2025-01-26,3050.9602516202758,2351.732736405269,22.918276789862063
forward,recency,2025-01-27,3555.9612805969191,2821.9052976425955,20.642968947938087
forward,recency,2025-01-28,2947.5966125227951,2081.0835118798705,29.397275629967957
forward,recency,2025-01-29,4188.2038943306561,3651.6920037917312,12.810070953450282
forward,recency,2025-01-30,3623.5508306879947,2925.2623476321478,19.270834484837753
forward,recency,2025-01-31,16589.533802222984,21577.38369910634,-30.066245117840428
forward,pv_lag_1d,2025-01-24,16156.628526901741,15518.481833069267,3.9497516005268172
forward,pv_lag_1d,2025-01-25,17179.303373643714,19127.219959825037,-11.338740249326957
forward,pv_lag_1d,2025-01-26,3050.9602516202758,2411.6403756412465,20.954710099533589
forward,pv_lag_1d,2025-01-27,3555.9612805969191,3373.1531013890863,5.1408934120099827
forward,pv_lag_1d,2025-01-28,2947.5966125227951,2062.9318045729269,30.013089450279274
forward,pv_lag_1d,2025-01-29,4188.2038943306561,3865.520525411669,7.7045764022087369
forward,pv_lag_1d,2025-01-30,3623.5508306879947,4775.4285127620396,-31.788644230370597
forward,pv_lag_1d,2025-01-31,16589.533802222984,25419.740924661528,-53.22757847032026
forward,pv_std_3d,2025-01-24,16156.628526901741,25056.693601890089,-55.086152783479633
forward,pv_std_3d,2025-01-25,17179.303373643714,19748.19508800398,-14.953410266340777
forward,pv_std_3d,2025-01-26,3050.9602516202758,2039.3652240097431,33.156611170968361
forward,pv_std_3d,2025-01-27,3555.9612805969191,3534.4704865648991,0.60435961857302367
forward,pv_std_3d,2025-01-28,2947.5966125227951,2604.2604999315145,11.648002007215821
forward,pv_std_3d,2025-01-29,4188.2038943306561,4372.4607335405826,-4.3994238069293852
forward,pv_std_3d,2025-01-30,3623.5508306879947,3553.6995083531701,1.9277036696505248
forward,pv_std_3d,2025-01-31,16589.533802222984,21727.808450988527,-30.972990019026437
forward,pv_trend_3d,2025-01-24,16156.628526901741,22024.613283282648,-36.319364195384985
forward,pv_trend_3d,2025-01-25,17179.303373643714,16143.643313306296,6.0285335080950651
forward,pv_trend_3d,2025-01-26,3050.9602516202758,2313.8978824719165,24.158373376281354
forward,pv_trend_3d,2025-01-27,3555.9612805969191,3452.2522721937939,2.9164830609661787
forward,pv_trend_3d,2025-01-28,2947.5966125227951,2978.6028990428522,-1.0519175652573216
forward,pv_trend_3d,2025-01-29,4188.2038943306561,4340.3035697813229,-3.6316206012929766
forward,pv_trend_3d,2025-01-30,3623.5508306879947,4019.1253441028894,-10.916764574261206
forward,pv_trend_3d,2025-01-31,16589.533802222984,15572.571763223648,6.1301423603782279
forward,load_mean_3d,2025-01-24,16156.628526901741,14279.736094916734,11.616856999960541
forward,load_mean_3d,2025-01-25,17179.303373643714,15210.355658894274,11.461161561243376
forward,load_mean_3d,2025-01-26,3050.9602516202758,2475.4651966697493,18.862751641713391
forward,load_mean_3d,2025-01-27,3555.9612805969191,3214.5852525830423,9.6001053182607183
forward,load_mean_3d,2025-01-28,2947.5966125227951,3556.1400526535444,-20.645411164654174
forward,load_mean_3d,2025-01-29,4188.2038943306561,4529.4387467069564,-8.1475224460349533
forward,load_mean_3d,2025-01-30,3623.5508306879947,4131.7400515556292,-14.024619623485339
forward,load_mean_3d,2025-01-31,16589.533802222984,14655.328079284012,11.659192753685399
conditional_1,load_mean_3d,2025-01-24,16156.628526901741,14279.736094916734,11.616856999960541
conditional_1,load_mean_3d,2025-01-25,17179.303373643714,15210.355658894274,11.461161561243376
conditional_1,load_mean_3d,2025-01-26,3050.9602516202758,2475.4651966697493,18.862751641713391
conditional_1,load_mean_3d,2025-01-27,3555.9612805969191,3214.5852525830423,9.6001053182607183
conditional_1,load_mean_3d,2025-01-28,2947.5966125227951,3556.1400526535444,-20.645411164654174
conditional_1,load_mean_3d,2025-01-29,4188.2038943306561,4529.4387467069564,-8.1475224460349533
conditional_1,load_mean_3d,2025-01-30,3623.5508306879947,4131.7400515556292,-14.024619623485339
conditional_1,load_mean_3d,2025-01-31,16589.533802222984,14655.328079284012,11.659192753685399
