method,date,pool_size,k_eff,plan_kwh,emergency_kwh,cost_yuan
等权基线,2025-02-01,24,24,86523.28222,0,64660.5507
等权基线,2025-02-02,25,25,86702.99618,0,64226.0337
等权基线,2025-03-01,28,28,75593.48599,0,56078.62443
等权基线,2025-03-02,29,29,75702.14589,0,55759.53366
等权基线,2025-04-01,31,31,63687.1018,0,47758.78744
等权基线,2025-04-02,32,32,63502.36154,0,47732.62196
等权基线,2025-05-01,30,30,53745.02792,0,41293.50929
等权基线,2025-05-02,31,31,54019.99199,0,41541.28436
等权基线,2025-06-01,31,31,52286.80103,14724.24121,92620.0825
等权基线,2025-06-02,32,32,52896.08404,12183.63975,81088.40101
等权基线,2025-07-01,30,30,69022.03889,6549.603526,69324.8534
等权基线,2025-07-02,31,31,69639.27408,687.6041305,54116.56657
等权基线,2025-08-01,31,31,72635.63941,0,55560.27683
等权基线,2025-08-02,32,32,72572.66244,0,55227.69571
等权基线,2025-09-01,31,31,65236.86799,0,50456.35284
等权基线,2025-09-02,32,32,65145.58767,0,50402.96278
等权基线,2025-10-01,30,30,59230.72339,0,46435.08968
等权基线,2025-10-02,31,31,59352.05894,0,46522.71109
等权基线,2025-11-01,31,31,61359.53594,0,47190.23429
等权基线,2025-11-02,32,32,61373.79202,4015.065834,60505.98332
等权基线,2025-12-01,54,54,85491.89892,0,62217.49198
等权基线,2025-12-02,55,55,85424.92877,1052.352619,65250.5919
旧特征集,2025-02-01,24,6.306281725,84941.90316,0,60718.94025
旧特征集,2025-02-02,25,6.033014051,87852.56866,0,70133.28357
旧特征集,2025-03-01,28,8.310928919,73335.2583,0,52760.44954
旧特征集,2025-03-02,29,7.919038709,75822.02818,0,60293.5917
旧特征集,2025-04-01,31,9.424682827,61720.52673,0,44081.51043
旧特征集,2025-04-02,32,12.25864499,63047.53471,0,46795.62651
旧特征集,2025-05-01,30,13.15326601,53701.69886,0,40859.03561
旧特征集,2025-05-02,31,12.71607543,54667.58097,0,41972.3959
旧特征集,2025-06-01,31,8.136426466,59929.06227,7118.989513,69489.85721
旧特征集,2025-06-02,32,8.468049804,67639.5762,0,50861.58103
旧特征集,2025-07-01,30,8.753034825,72130.16323,4841.881603,62840.09136
旧特征集,2025-07-02,31,11.95788168,69128.46024,1548.836199,54839.31204
旧特征集,2025-08-01,31,14.09735847,71222.22372,0,54549.73693
旧特征集,2025-08-02,32,9.174079218,73054.7453,0,53138.42139
旧特征集,2025-09-01,31,8.978040368,73756.40406,0,57663.89658
旧特征集,2025-09-02,32,15.49988468,63578.69746,0,48969.52798
旧特征集,2025-10-01,30,12.75490416,57645.09628,0,44960.97414
旧特征集,2025-10-02,31,12.302225,58229.48153,0,45523.64732
旧特征集,2025-11-01,31,8.416799451,63790.8046,0,45828.39925
旧特征集,2025-11-02,32,8.162541302,67398.36376,0,53275.60072
旧特征集,2025-12-01,54,12.33941392,80074.8184,2436.377778,69819.68208
旧特征集,2025-12-02,55,19.95965761,82819.74612,4084.579393,73738.52995
修订特征集,2025-02-01,24,1.183052796,47614.43841,0,35544.40037
修订特征集,2025-02-02,25,5.189447041,84973.51857,0,67806.21781
修订特征集,2025-03-01,28,3.597924448,41816.03002,0,30936.07028
修订特征集,2025-03-02,29,8.936765061,72084.32723,0,57194.5228
修订特征集,2025-04-01,31,7.574699714,64008.7847,0,50229.85951
修订特征集,2025-04-02,32,9.955227906,64080.59625,0,50282.44628
修订特征集,2025-05-01,30,9.46355995,58839.12045,0,45519.48139
修订特征集,2025-05-02,31,2.498491897,33700.75538,0,24221.1604
修订特征集,2025-06-01,31,15.74234225,60426.84687,6625.192114,67935.00591
修订特征集,2025-06-02,32,4.882773266,60487.78518,4606.71165,59583.21668
修订特征集,2025-07-01,30,17.47440141,72201.30088,2833.300393,63274.57059
修订特征集,2025-07-02,31,17.19612015,72860.92944,0,57744.71932
修订特征集,2025-08-01,31,7.39031082,49610.25789,0,36829.59347
修订特征集,2025-08-02,32,8.693675194,49361.18289,0,36633.73137
修订特征集,2025-09-01,31,13.26358891,74117.36822,0,58117.79619
修订特征集,2025-09-02,32,16.63464163,73135.45434,0,57295.96296
修订特征集,2025-10-01,30,7.385504967,68517.88757,0,54494.67091
修订特征集,2025-10-02,31,13.16436841,67315.88043,0,53388.36717
修订特征集,2025-11-01,31,3.382427876,40642.09133,0,30369.64227
修订特征集,2025-11-02,32,8.991499271,69821.65471,0,55525.0021
修订特征集,2025-12-01,54,27.88734241,84262.17556,0,66057.73719
修订特征集,2025-12-02,55,28.0779397,84849.0377,0,66948.6414
