round,h,mean_es,mean_k_eff,min_k_eff,max_k_eff,selected
uniform_limit,inf,1334.485697,46.68562874,24,84,False
coarse_0,0.05,843.6265879,1.161113569,1,6.068072127,False
coarse_0,0.06417844211,833.9102462,1.237464188,1,7.646463693,False
coarse_0,0.08237744862,821.0652481,1.348134624,1,9.306311722,False
coarse_0,0.1057371263,804.1359221,1.495281408,1,11.37234045,False
coarse_0,0.1357208808,781.5086159,1.68712718,1,13.74652786,False
coarse_0,0.1742070939,752.2518303,1.9543871,1,15.05128904,False
coarse_0,0.2236067977,716.6283479,2.350726467,1,15.89082522,False
coarse_0,0.2870147185,677.2630763,2.971277563,1,18.33640463,False
coarse_0,0.3684031499,638.5726681,3.928474399,1,22.39244099,False
coarse_0,0.4728708045,605.0664971,5.245448076,1,27.2790387,False
coarse_0,0.606962231,579.9222771,6.916774245,1.000000123,31.89169535,False
coarse_0,0.7790778081,562.4056101,8.991803768,1.000093095,35.6580656,False
coarse_0,1,553.097425,11.7082895,1.005692336,39.49801586,False
coarse_0,1.283568842,574.5726344,16.03703915,1.076728607,45.44802748,False
coarse_0,1.647548972,673.770764,23.11394326,1.465985081,54.47313096,False
coarse_0,2.114742527,833.2838878,31.75393714,3.247220275,64.78785156,False
coarse_0,2.714417617,989.3048993,38.90354975,10.31917937,73.41896365,False
coarse_0,3.484141877,1109.471989,43.20042628,20.69192278,78.93500373,False
coarse_0,4.472135955,1192.17485,45.26660493,22.65353315,81.80798685,False
coarse_0,5.74029437,1246.00046,46.13572265,23.48066141,83.1108885,False
coarse_0,7.368062997,1280.005072,46.47761833,23.80459669,83.65322284,False
coarse_0,9.45741609,1301.134112,46.60789074,23.92728887,83.86784307,False
coarse_0,12.13924462,1314.138233,46.65675847,23.97307917,83.95031763,False
coarse_0,15.58155616,1322.097197,46.67494342,23.99005636,83.98147316,False
coarse_0,20,1326.95223,46.68168151,23.99633149,83.99312451,False
fine_1,0.7790778081,562.4056101,8.991803768,1.000093095,35.6580656,False
fine_1,0.8037726595,560.6873207,9.285456009,1.000174227,36.0972726,False
fine_1,0.829250277,559.082507,9.589020748,1.000314462,36.53947809,False
fine_1,0.8555354724,557.6032911,9.903761751,1.000548575,36.9887381,False
fine_1,0.8826538438,556.2684386,10.23120782,1.000926847,37.44938645,False
fine_1,0.910631801,555.1053685,10.57316412,1.001519585,37.92596438,False
fine_1,0.9394965907,554.152386,10.93171536,1.002422044,38.42313882,False
fine_1,0.9692763232,553.46092,11.30921939,1.003759514,38.94561068,False
fine_1,1,553.097425,11.7082895,1.005692336,39.49801586,False
fine_1,1.031697542,553.1445279,12.13176384,1.008420569,40.08482129,False
fine_1,1.064399818,553.7009907,12.58266069,1.012188182,40.71021922,False
fine_1,1.098138676,554.8801528,13.0641182,1.01728671,41.37802256,False
fine_1,1.132946972,556.8066896,13.57931795,1.024058575,42.09156429,False
fine_1,1.168858606,559.611757,14.13139191,1.032900472,42.85360394,False
fine_1,1.205908551,563.4268328,14.72331322,1.044267534,43.66624359,False
fine_1,1.244132888,568.376762,15.35777197,1.058679277,44.53085605,False
fine_1,1.283568842,574.5726344,16.03703915,1.076728607,45.44802748,False
fine_2,0.9692763232,553.46092,11.30921939,1.003759514,38.94561068,False
fine_2,0.9730645562,553.3960107,11.35786757,1.003964856,39.01293069,False
fine_2,0.9768675947,553.3363523,11.40685779,1.004179804,39.08072754,False
fine_2,0.9806854968,553.282096,11.45619548,1.004404722,39.14901011,False
fine_2,0.9845183204,553.2333973,11.50588612,1.004639985,39.21778722,False
fine_2,0.9883661238,553.1904154,11.55593524,1.004885978,39.28706766,False
fine_2,0.9922289657,553.1533138,11.60634841,1.005143096,39.35686015,False
fine_2,0.9961069048,553.1222598,11.65713127,1.005411743,39.42717335,False
fine_2,1,553.097425,11.7082895,1.005692336,39.49801586,False
fine_2,1.003908311,553.0789849,11.7598288,1.005985301,39.56939623,False
fine_2,1.007831896,553.0671189,11.81175495,1.006291075,39.64132292,False
fine_2,1.011770816,553.0620104,11.86407377,1.006610105,39.71380436,False
fine_2,1.015725131,553.0638471,11.91679109,1.006942852,39.78684885,False
fine_2,1.0196949,553.07282,11.96991281,1.007289785,39.86046466,False
fine_2,1.023680185,553.0891245,12.02344486,1.007651385,39.93465996,False
fine_2,1.027681045,553.1129595,12.0773932,1.008028145,40.00944283,False
fine_2,1.031697542,553.1445279,12.13176384,1.008420569,40.08482129,False
fine_3,1.007831896,553.0671189,11.81175495,1.006291075,39.64132292,False
fine_3,1.008323421,553.0661069,11.81827321,1.006330219,39.65035259,False
fine_3,1.008815186,553.065201,11.82479762,1.006369572,39.65939095,False
fine_3,1.009307191,553.0644013,11.83132818,1.006409133,39.668438,False
fine_3,1.009799436,553.0637083,11.83786491,1.006448904,39.67749378,False
fine_3,1.010291921,553.0631224,11.84440783,1.006488886,39.68655828,False
fine_3,1.010784645,553.0626438,11.85095693,1.00652908,39.69563153,False
fine_3,1.011277611,553.0622731,11.85751224,1.006569486,39.70471355,False
fine_3,1.011770816,553.0620104,11.86407377,1.006610105,39.71380436,False
fine_3,1.012264263,553.0618563,11.87064152,1.006650939,39.72290395,False
fine_3,1.012757949,553.0618111,11.87721551,1.006691988,39.73201237,True
fine_3,1.013251877,553.0618751,11.88379575,1.006733253,39.74112961,False
fine_3,1.013746046,553.0620488,11.89038225,1.006774735,39.7502557,False
fine_3,1.014240455,553.0623324,11.89697502,1.006816435,39.75939065,False
fine_3,1.014735106,553.0627264,11.90357408,1.006858354,39.76853449,False
fine_3,1.015229998,553.0632312,11.91017943,1.006900493,39.77768721,False
fine_3,1.015725131,553.0638471,11.91679109,1.006942852,39.78684885,False
