round,h,mean_es,mean_k_eff,min_k_eff,max_k_eff,selected
uniform_limit,inf,1334.485697,46.68562874,24,84,False
coarse_0,0.05,843.6265879,1.161113569,1,6.068072127,False
coarse_0,0.06417844211,833.9102462,1.237464188,1,7.646463693,False
coarse_0,0.08237744862,821.0652481,1.348134624,1,9.306311722,False
coarse_0,0.1057371263,804.1359221,1.495281408,1,11.37234045,False
coarse_0,0.1357208808,781.5086159,1.68712718,1,13.74652786,False
coarse_0,0.1742070939,752.2518303,1.9543871,1,15.05128904,False
coarse_0,0.2236067977,716.6283366,2.350726471,1,15.89082522,False
coarse_0,0.2870147185,677.2600149,2.971278604,1,18.33640463,False
coarse_0,0.3684031499,638.4835683,3.928505701,1,22.39244099,False
coarse_0,0.4728708045,604.4519566,5.245703242,1,27.27903845,False
coarse_0,0.606962231,578.3594077,6.917468682,1.000000032,31.89140953,False
coarse_0,0.7790778081,560.7012045,8.984184882,1.000040848,35.64049891,False
coarse_0,1,551.3904036,11.61246365,1.003453042,39.31718602,False
coarse_0,1.283568842,564.7406759,15.63708638,1.056755775,44.83102068,False
coarse_0,1.647548972,648.8484528,22.32956694,1.391230894,53.45226103,False
coarse_0,2.114742527,804.0224675,30.96036166,3.049253791,63.77568765,False
coarse_0,2.714417617,965.3403149,38.40562334,9.962746115,72.72231875,False
coarse_0,3.484141877,1092.590491,42.96185861,20.51921113,78.56052273,False
coarse_0,4.472135955,1181.068216,45.16696703,22.58603368,81.63598158,False
coarse_0,5.74029437,1238.943438,46.0967642,23.45558237,83.03897792,False
coarse_0,7.368062997,1275.605916,46.46284574,23.79541339,83.62473794,False
coarse_0,9.45741609,1298.421483,46.60236873,23.92393311,83.85689884,False
coarse_0,12.13924462,1312.476153,46.65470848,23.97185109,83.94618513,False
coarse_0,15.58155616,1321.082634,46.67418501,23.98960604,83.97992832,False
coarse_0,20,1326.334316,46.68140144,23.9961661,83.99255039,False
fine_1,0.7790778081,560.7012045,8.984184882,1.000040848,35.64049891,False
fine_1,0.8037726595,559.058365,9.273903857,1.000080353,36.07180253,False
fine_1,0.829250277,557.5365307,9.572181707,1.000151982,36.5034863,False
fine_1,0.8555354724,556.1374376,9.879970613,1.000277056,36.93909274,False
fine_1,0.8826538438,554.86624,10.1984595,1.000487857,37.38244715,False
fine_1,0.910631801,553.73323,10.52909448,1.000831532,37.83761674,False
fine_1,0.9394965907,552.755976,10.8735941,1.001374639,38.30886013,False
fine_1,0.9692763232,551.9618023,11.2339575,1.002208196,38.80056674,False
fine_1,1,551.3904036,11.61246365,1.003453042,39.31718602,False
fine_1,1.031697542,551.0962661,12.0116594,1.005265278,39.86314711,False
fine_1,1.064399818,551.1504787,12.43433476,1.007841596,40.44277008,False
fine_1,1.098138676,551.6414958,12.88348374,1.011424368,41.06017071,False
fine_1,1.132946972,552.6744827,13.3622496,1.016306527,41.7191608,False
fine_1,1.168858606,554.3690202,13.87385341,1.0228365,42.42314709,False
fine_1,1.205908551,556.8551403,14.42150542,1.031423687,43.17503165,False
fine_1,1.244132888,560.2678744,15.00829879,1.042545308,43.97711718,False
fine_1,1.283568842,564.7406759,15.63708638,1.056755775,44.83102068,False
fine_2,1,551.3904036,11.61246365,1.003453042,39.31718602,False
fine_2,1.003908311,551.337181,11.66117665,1.00364492,39.38373651,False
fine_2,1.007831896,551.2883931,11.71021786,1.003845958,39.45075417,False
fine_2,1.011770816,551.2441681,11.75959261,1.004056514,39.51824756,False
fine_2,1.015725131,551.2046384,11.80930627,1.004276955,39.58622519,False
fine_2,1.0196949,551.1699404,11.85936426,1.004507658,39.65469554,False
fine_2,1.023680185,551.140215,11.90977208,1.004749012,39.72366705,False
fine_2,1.027681045,551.1156071,11.96053526,1.005001415,39.79314812,False
fine_2,1.031697542,551.0962661,12.0116594,1.005265278,39.86314711,False
fine_2,1.035729736,551.0823456,12.06315015,1.005541021,39.93367232,False
fine_2,1.03977769,551.0740035,12.1150132,1.005829076,40.00473203,False
fine_2,1.043841464,551.0714019,12.16725429,1.006129886,40.07633443,True
fine_2,1.047921121,551.0747073,12.21987922,1.006443907,40.14848768,False
fine_2,1.052016722,551.0840905,12.27289383,1.006771604,40.22119987,False
fine_2,1.05612833,551.0997266,12.326304,1.007113456,40.29447904,False
fine_2,1.060256008,551.1217948,12.38011565,1.007469953,40.36833314,False
fine_2,1.064399818,551.1504787,12.43433476,1.007841596,40.44277008,False
fine_3,1.03977769,551.0740035,12.1150132,1.005829076,40.00473203,False
fine_3,1.040284795,551.073361,12.12152254,1.00586597,40.01365248,False
fine_3,1.040792148,551.0728085,12.1280378,1.005903065,40.02258143,False
fine_3,1.041299748,551.0723463,12.13455899,1.005940361,40.03151889,False
fine_3,1.041807596,551.0719748,12.14108613,1.005977859,40.04046488,False
fine_3,1.042315691,551.0716943,12.14761921,1.006015559,40.04941941,False
fine_3,1.042824034,551.071505,12.15415826,1.006053463,40.05838251,False
fine_3,1.043332625,551.0714075,12.16070328,1.006091572,40.06735417,False
fine_3,1.043841464,551.0714019,12.16725429,1.006129886,40.07633443,True
fine_3,1.044350551,551.0714885,12.1738113,1.006168407,40.0853233,False
fine_3,1.044859887,551.0716678,12.18037431,1.006207135,40.09432078,False
fine_3,1.045369471,551.0719401,12.18694335,1.006246071,40.10332691,False
fine_3,1.045879303,551.0723056,12.19351841,1.006285217,40.11234169,False
fine_3,1.046389384,551.0727648,12.20009952,1.006324572,40.12136514,False
fine_3,1.046899714,551.0733179,12.20668669,1.006364138,40.13039728,False
fine_3,1.047410293,551.0739653,12.21327991,1.006403916,40.13943812,False
fine_3,1.047921121,551.0747073,12.21987922,1.006443907,40.14848768,False
