round,h,mean_es,mean_k_eff,min_k_eff,max_k_eff,selected
uniform_limit,inf,1334.485697,46.68562874,24,84,False
coarse_0,0.05,1575.612982,4.159745637,1,12.82743226,False
coarse_0,0.06417844211,1542.436137,4.42660622,1,12.97316442,False
coarse_0,0.08237744862,1514.546007,4.696450037,1,13.26415886,False
coarse_0,0.1057371263,1487.189777,4.958297187,1,13.66954797,False
coarse_0,0.1357208808,1458.266801,5.207466928,1,14.12765225,False
coarse_0,0.1742070939,1412.56165,5.529054203,1.000000219,17.81357348,False
coarse_0,0.2236067977,1332.563233,6.391291886,1.000128883,21.21596661,False
coarse_0,0.2870147185,1268.572992,8.557049704,1.007920513,23.1964629,False
coarse_0,0.3684031499,1248.520149,12.03312337,1.135630266,24.88936763,False
coarse_0,0.4728708045,1251.340216,16.4205308,2.026948437,33.38363941,False
coarse_0,0.606962231,1261.267964,21.76583628,5.144187308,47.00050525,False
coarse_0,0.7790778081,1274.783475,27.53885549,9.042505316,62.46371716,False
coarse_0,1,1289.401058,32.9775638,11.79610321,73.11677049,False
coarse_0,1.283568842,1302.454412,37.93426028,15.5890522,78.7846889,False
coarse_0,1.647548972,1312.69643,41.93671083,19.66674306,81.32383384,False
coarse_0,2.114742527,1320.146583,44.47684203,22.55372942,82.35740615,False
coarse_0,2.714417617,1325.292865,45.76198368,23.94791656,82.75816504,False
coarse_0,3.484141877,1328.704591,46.3220198,23.98110796,83.2249581,False
coarse_0,4.472135955,1330.897518,46.54690361,23.9931088,83.70089217,False
coarse_0,5.74029437,1332.277441,46.63354217,23.99747694,83.88682277,False
coarse_0,7.368062997,1333.133919,46.66623477,23.99907405,83.95764861,False
coarse_0,9.45741609,1333.660942,46.67844015,23.99965967,83.98425263,False
coarse_0,12.13924462,1333.983513,46.68297095,23.9998748,83.99416648,False
coarse_0,15.58155616,1334.180302,46.68464752,23.99995392,83.99784376,False
coarse_0,20,1334.300116,46.6852668,23.99998303,83.99920404,False
fine_1,0.2870147185,1268.572992,8.557049704,1.007920513,23.1964629,False
fine_1,0.2961123795,1263.880103,8.931732634,1.01196766,23.40156821,False
fine_1,0.3054984141,1259.913692,9.326151693,1.017756408,23.60541699,False
fine_1,0.3151819628,1256.631161,9.738825007,1.02589393,23.80991033,False
fine_1,0.3251724563,1253.981152,10.16833797,1.037145958,24.01667048,False
fine_1,0.3354796239,1251.906168,10.61343031,1.052462371,24.22703903,False
fine_1,0.3461135033,1250.345258,11.07306236,1.073003967,24.44208981,False
fine_1,0.3570844505,1249.236649,11.5464579,1.100170517,24.66265576,False
fine_1,0.3684031499,1248.520149,12.03312337,1.135630266,24.88936763,False
fine_1,0.3800806241,1248.139163,12.53284507,1.181350651,25.75171316,False
fine_1,0.3921282456,1248.042219,13.04566687,1.239629027,26.83123818,False
fine_1,0.4045577471,1248.183968,13.57185161,1.313120237,27.92108569,False
fine_1,0.4173812332,1248.52567,14.11182956,1.404855081,29.01674767,False
fine_1,0.4306111924,1249.035228,14.66613701,1.518239996,30.114167,False
fine_1,0.4442605086,1249.686829,15.23534799,1.657024422,31.20976535,False
fine_1,0.4583424747,1250.460289,15.820002,1.825219183,32.30045473,False
