date,es_equal,es_legacy,es_revised,pool_size,k_eff_legacy,k_eff_revised,improvement_revised_vs_equal_pct,improvement_revised_vs_legacy_pct,improvement_legacy_vs_equal_pct
2025-02-01,2678.05216,1720.406234,635.1368392,24,6.306281725,1.155859988,76.28362701,63.08215893,35.75904684
2025-02-02,714.8465792,816.1319893,528.7756225,25,6.033014051,5.012374951,26.0294953,35.20954583,-14.1688319
2025-02-03,648.3661837,440.7151967,353.4821052,26,5.438735641,3.485118158,45.48110094,19.79352928,32.02680711
2025-02-04,575.2210431,1356.591343,337.5459199,27,7.282352527,3.704414295,41.3189201,75.11808389,-135.8382676
2025-02-05,580.0157225,725.1762509,321.3082206,28,14.47091668,4.449541291,44.60353261,55.69239613,-25.02699888
2025-02-06,569.291069,558.0997233,299.7818463,29,11.25605262,6.152207104,47.34119985,46.28525444,1.965838978
2025-02-07,2959.327315,3092.655497,642.9481803,30,10.79413835,2.593445966,78.27384024,79.21048171,-4.505354346
2025-02-08,2790.766029,1998.789803,539.8451284,31,6.781856795,2.474268961,80.65602337,72.99140071,28.37845301
2025-02-09,645.5889751,414.2571428,323.5993648,32,5.509216342,5.827868617,49.87532667,21.88442121,35.83268011
2025-02-10,814.5101837,761.3486664,725.7455751,33,6.221380195,6.710461881,10.89791267,4.676318861,6.526808175
2025-02-11,698.529409,1134.822467,408.3660217,34,7.790455615,6.323453218,41.53917982,64.01498616,-62.45879585
2025-02-12,694.0366267,797.7238499,345.7007036,35,11.28901158,6.153555804,50.1898473,56.66411333,-14.93973362
2025-02-13,903.7856877,838.6315049,617.4141705,36,11.75844849,5.528830574,31.68577696,26.37837156,7.209030164
2025-02-14,2909.204972,2644.508411,563.7434,37,12.37521497,2.511065195,80.62208042,78.68248792,9.098587534
2025-02-15,2832.3639,1947.824468,376.7393022,38,8.256912214,1.725707516,86.69876769,80.65845725,31.22972411
2025-02-16,706.5700917,494.369546,411.7400426,39,7.03841052,5.746174137,41.72693588,16.71411681,30.03248343
2025-02-17,842.6559879,795.8340555,485.7238835,40,8.021826479,7.733844379,42.35798589,38.96668782,5.556470624
2025-02-18,754.8432385,1093.211803,338.9401337,41,9.481953295,7.290637876,55.09794399,68.99593173,-44.82633577
2025-02-19,744.5631906,756.2616738,360.5568943,42,13.35759064,7.457556928,51.57470866,52.32379125,-1.571187425
2025-02-20,790.7943292,714.4620401,401.4394104,43,14.22137731,7.545131499,49.23592702,43.81235281,9.652609573
2025-02-21,3130.972396,2751.554525,556.7800309,44,15.07135568,2.641753005,82.21702524,79.76489196,12.11821193
2025-02-22,2774.468501,1782.182066,330.0963104,45,10.17928061,3.513393942,88.1023587,81.47796924,35.76491985
2025-02-23,755.7871737,622.3364026,377.5399653,46,8.842710535,9.084227623,50.0467885,39.33506641,17.65718918
2025-02-24,871.6179628,820.5165684,480.7445246,47,9.874685249,9.930058776,44.8445827,41.40952869,5.862820242
2025-02-25,1014.05536,1112.172112,683.5324017,48,11.39991919,10.25644884,32.59417297,38.54077133,-9.675680112
2025-02-26,801.2617,777.2940309,352.2259491,49,15.99112976,9.356738201,56.04108507,54.6856228,2.991241082
2025-02-27,905.0020857,785.1474619,502.3553744,50,16.84666184,9.41516406,44.49124679,36.01770384,13.24357432
2025-02-28,3160.633425,2707.787122,577.001923,51,17.72051661,3.868014767,81.74410488,78.69101606,14.32770718
2025-03-01,2456.317335,1723.831352,468.4395932,28,8.310928919,3.51448151,80.92919076,72.82567157,29.82049479
2025-03-02,910.5907166,670.8474983,832.8767816,29,7.919038709,8.748057247,8.534452805,-24.15292354,26.32831786
2025-03-03,701.9143512,418.3603253,480.706304,30,7.129779685,11.37544048,31.51496288,-14.90245966,40.39724013
2025-03-04,616.2752659,1252.946232,361.3105555,31,8.757031662,12.82899858,41.37188762,71.16312366,-103.3095113
2025-03-05,660.104223,776.6771458,493.6110909,32,14.01151452,13.69874728,25.2222492,36.44578142,-17.65977534
2025-03-06,653.9569606,628.3069186,446.4522066,33,12.02118025,14.0578706,31.73064383,28.94361126,3.922282886
2025-03-07,2776.045551,2695.060827,660.131447,34,11.81068372,5.18391186,76.22043893,75.50587948,2.917269268
2025-03-08,2812.955879,2169.284346,500.1167561,35,8.347257021,5.623661386,82.2209527,76.94554165,22.88238993
2025-03-09,767.198877,980.4160318,609.1808286,36,6.970378647,12.64072655,20.59675178,37.86506862,-27.79164064
2025-03-10,712.4136643,521.5108431,494.7975676,37,7.690752892,11.40199279,30.54631145,5.122285719,26.79662545
2025-03-11,705.6910392,1152.260754,479.7378987,38,9.13258962,12.13726827,32.0187062,58.36550909,-63.28119384
2025-03-12,739.2225753,740.4800906,514.303457,39,12.29562645,12.2722159,30.42644068,30.5445935,-0.1701132184
