date,slot,label,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start_kwh,storage_end_kwh,load_kwh,pv_kwh,net_kwh,pool_size
2025-02-01,1,0:00-0:10,441.846976,9.34634515,0,0,10.47026417,1200,1208.411711,422.0303667,0,422.0303667,24
2025-02-01,2,0:10-0:20,480.0884607,0,0,0,64.68114405,1208.411711,1208.411711,415.4073167,0,415.4073167,24
2025-02-01,3,0:20-0:30,498.7933333,0,0,0,88.07666667,1208.411711,1208.411711,410.7166667,0,410.7166667,24
2025-02-01,4,0:30-0:40,457.6600215,0,0,0,27.36522149,1208.411711,1208.411711,430.2948,0,430.2948,24
2025-02-01,5,0:40-0:50,442.7534392,0,0,0,18.34285589,1208.411711,1208.411711,424.4105833,0,424.4105833,24
2025-02-01,6,0:50-1:00,465.8491263,0,0,0,59.79745965,1208.411711,1208.411711,406.0516667,0,406.0516667,24
2025-02-01,7,1:00-1:10,460.0665784,0,0,0,23.31639507,1208.411711,1208.411711,436.7501833,0,436.7501833,24
2025-02-01,8,1:10-1:20,444.2271438,0,7.570539571,0,0,1208.411711,1200,451.7976833,0,451.7976833,24
2025-02-01,9,1:20-1:30,453.5753142,0,0,0,7.495314171,1200,1200,446.08,0,446.08,24
2025-02-01,10,1:30-1:40,496.6052053,0,0,0,24.83887194,1200,1200,471.7663333,0,471.7663333,24
2025-02-01,11,1:40-1:50,503.0844221,0,0,0,55.05845544,1200,1200,448.0259667,0,448.0259667,24
2025-02-01,12,1:50-2:00,468.2624268,7.429026065,0,0,63.4300674,1200,1206.686123,397.4033333,0,397.4033333,24
2025-02-01,13,2:00-2:10,457.1674172,23.07678389,0,0,-0,1206.686123,1227.455229,434.0906333,0,434.0906333,24
2025-02-01,14,2:10-2:20,473.2213776,0,17.33953908,0,0,1227.455229,1208.189074,490.5609167,0,490.5609167,24
2025-02-01,15,2:20-2:30,495.849833,0,7.370166983,0,0,1208.189074,1200,503.22,0,503.22,24
2025-02-01,16,2:30-2:40,505.525723,0,0,0,31.45290637,1200,1200,474.0728167,0,474.0728167,24
2025-02-01,17,2:40-2:50,516.8692122,0,0,0,55.48481218,1200,1200,461.3844,0,461.3844,24
2025-02-01,18,2:50-3:00,537.6225432,0,0,0,60.68087652,1200,1200,476.9416667,0,476.9416667,24
2025-02-01,19,3:00-3:10,556.189209,0,0,0,72.78965902,1200,1200,483.39955,0,483.39955,24
2025-02-01,20,3:10-3:20,547.1026632,13.20713069,0,0,47.29361586,1200,1211.886418,486.6019167,0,486.6019167,24
2025-02-01,21,3:20-3:30,515.4827064,16.63437304,0,0,-0,1211.886418,1226.857353,498.8483333,0,498.8483333,24
2025-02-01,22,3:30-3:40,496.2371596,0,22.0725737,0,0,1226.857353,1202.332271,518.3097333,0,518.3097333,24
2025-02-01,23,3:40-3:50,507.0344223,0,2.099044317,0,0,1202.332271,1200,509.1334667,0,509.1334667,24
2025-02-01,24,3:50-4:00,541.3605043,0,0,0,57.74383761,1200,1200,483.6166667,0,483.6166667,24
2025-02-01,25,4:00-4:10,570.5250287,0,0,0,79.33822873,1200,1200,491.1868,0,491.1868,24
2025-02-01,26,4:10-4:20,557.7023471,0,0,0,53.05706378,1200,1200,504.6452833,0,504.6452833,24
2025-02-01,27,4:20-4:30,522.6944438,0,0,0,17.1161105,1200,1200,505.5783333,0,505.5783333,24
2025-02-01,28,4:30-4:40,520.9297258,0,0,0,17.69875915,1200,1200,503.2309667,0,503.2309667,24
2025-02-01,29,4:40-4:50,518.8722642,0,0,0,16.02551415,1200,1200,502.8469833,0.0002333333333,502.84675,24
2025-02-01,30,4:50-5:00,512.8501296,0,0,0,13.20846291,1200,1200,499.6416667,0,499.6416667,24
2025-02-01,31,5:00-5:10,537.8223271,0,0,0,49.0387438,1200,1200,488.7835833,0,488.7835833,24
2025-02-01,32,5:10-5:20,572.4107165,0,0,0,73.89528318,1200,1200,498.51875,0.003316666667,498.5154333,24
2025-02-01,33,5:20-5:30,584.615,0,0,0,55.39166667,1200,1200,529.2233333,0,529.2233333,24
2025-02-01,34,5:30-5:40,574.8298372,2.21867349,0,0,25.20084703,1200,1201.996806,547.4103167,0,547.4103167,24
2025-02-01,35,5:40-5:50,529.3840411,0,1.797125527,0,0,1201.996806,1200,531.2274,0.04623333333,531.1811667,24
2025-02-01,36,5:50-6:00,538.1032626,0,0,0,27.11992925,1200,1200,510.9833333,0,510.9833333,24
2025-02-01,37,6:00-6:10,574.0875014,0,0,0,38.90031808,1200,1200,535.1871833,0,535.1871833,24
2025-02-01,38,6:10-6:20,584.9304433,0,0,0,51.57510999,1200,1200,533.99935,0.6440166667,533.3553333,24
2025-02-01,39,6:20-6:30,567.1637014,0,0,0,62.64370138,1200,1200,504.52,0,504.52,24
2025-02-01,40,6:30-6:40,564.3095601,0,0,0,44.75587675,1200,1200,519.5536833,0,519.5536833,24
2025-02-01,41,6:40-6:50,586.3738994,0,0,0,34.89381604,1200,1200,566.415,14.93491667,551.4800833,24
2025-02-01,42,6:50-7:00,596.3319335,0,0,0,44.29026685,1200,1200,608.7916667,56.75,552.0416667,24
2025-02-01,43,7:00-7:10,570.527453,0,0,0,55.96940301,1200,1200,617.21405,102.656,514.55805,24
2025-02-01,44,7:10-7:20,510.4425457,0,0,0,62.53399566,1200,1200,595.3964667,147.4879167,447.90855,24
2025-02-01,45,7:20-7:30,447.4734793,0,0,0,58.04931258,1200,1200,579.5366667,190.1125,389.4241667,24
2025-02-01,46,7:30-7:40,416.1456045,0,0,0,38.49185447,1200,1200,609.0003667,231.3466167,377.65375,24
2025-02-01,47,7:40-7:50,375.8489626,0,0,0,14.68761257,1200,1200,640.2366833,279.0753333,361.16135,24
2025-02-01,48,7:50-8:00,321.5822817,0,0,0,21.65936508,1200,1200,633.9416667,334.01875,299.9229167,24
2025-02-01,49,8:00-8:10,285.3136506,0,0,0,83.08741731,1200,1200,590.91065,388.6844167,202.2262333,24
2025-02-01,50,8:10-8:20,230.3968617,0,0,0,100.6042617,1200,1200,568.5581667,438.7655667,129.7926,24
2025-02-01,51,8:20-8:30,149.4656197,0,0,0,63.18103641,1200,1200,574.2283333,487.94375,86.28458333,24
2025-02-01,52,8:30-8:40,87.43546991,0,0,0,51.46631991,1200,1200,577.8523167,541.8831667,35.96915,24
2025-02-01,53,8:40-8:50,105.3744674,0,0,0,42.92053404,1200,1200,649.0800333,586.6261,62.45393333,24
2025-02-01,54,8:50-9:00,157.7778449,0,0,0,42.60117825,1200,1200,737.1266667,621.95,115.1766667,24
2025-02-01,55,9:00-9:10,130.1643591,0,0,0,84.34024241,1200,1200,711.2534167,665.4293,45.82411667,24
2025-02-01,56,9:10-9:20,70.27958564,0,0,0,101.6400856,1200,1200,698.3617,729.7222,-31.3605,24
2025-02-01,57,9:20-9:30,17.65574356,0,0,0,79.35657689,1200,1200,736.3866667,798.0875,-61.70083333,24
2025-02-01,58,9:30-9:40,4.781490073,0,0,0,109.8896067,1200,1200,733.2125667,838.3206833,-105.1081167,24
2025-02-01,59,9:40-9:50,4.382567427,0,0,0,174.5798174,1200,1200,697.1223667,867.3196167,-170.19725,24
2025-02-01,60,9:50-10:00,3.644562854,0,0,0,219.0749795,1200,1200,678.5883333,894.01875,-215.4304167,24
2025-02-01,61,10:00-10:10,3.125634582,0,0,0,203.5432679,1200,1200,711.4322,911.8498333,-200.4176333,24
2025-02-01,62,10:10-10:20,2.772474848,0,0,0,229.6926582,1200,1200,706.70705,933.6272333,-226.9201833,24
2025-02-01,63,10:20-10:30,2.512866315,0,0,0,294.738283,1200,1200,666.9933333,959.21875,-292.2254167,24
2025-02-01,64,10:30-10:40,2.334605409,0,0,0,303.4223387,1200,1200,678.7204333,979.8081667,-301.0877333,24
2025-02-01,65,10:40-10:50,1.921313491,0,0,0,345.1387135,1200,1200,678.1305,1021.3479,-343.2174,24
2025-02-01,66,10:50-11:00,1.449273355,0,0,0,408.7992734,1200,1200,652.925,1060.275,-407.35,24
2025-02-01,67,11:00-11:10,1.436340938,0,0,0,389.9198076,1200,1200,657.69435,1046.177817,-388.4834667,24
2025-02-01,68,11:10-11:20,1.504028998,0,0,0,396.7440957,1200,1200,656.1017167,1051.341783,-395.2400667,24
2025-02-01,69,11:20-11:30,1.439990284,0,0,0,445.9674903,1200,1200,654.535,1099.0625,-444.5275,24
2025-02-01,70,11:30-11:40,1.343274151,0,0,0,445.4503742,1200,1200,692.20855,1136.31565,-444.1071,24
2025-02-01,71,11:40-11:50,0.9924349812,0,0,0,449.2597683,1200,1200,680.1494833,1128.416817,-448.2673333,24
2025-02-01,72,11:50-12:00,0.6196805602,0,0,0,461.2425972,1200,1200,640.0333333,1100.65625,-460.6229167,24
2025-02-01,73,12:00-12:10,0.6050626316,0,0,0,429.2468793,1200,1200,676.8413833,1105.4832,-428.6418167,24
2025-02-01,74,12:10-12:20,0.7406669072,0,0,0,427.1279336,1200,1200,663.0938,1089.481067,-426.3872667,24
2025-02-01,75,12:20-12:30,0.6239161128,0,0,0,459.0147494,1200,1200,594.0216667,1052.4125,-458.3908333,24
2025-02-01,76,12:30-12:40,0.6759326066,0,0,0,451.6595326,1200,1200,601.1141667,1052.097767,-450.9836,24
2025-02-01,77,12:40-12:50,1.10490044,0,0,0,426.7592838,1200,1200,633.3353667,1058.98975,-425.6543833,24
2025-02-01,78,12:50-13:00,1.497113193,0,0,0,415.0404465,1200,1200,638.6816667,1052.225,-413.5433333,24
2025-02-01,79,13:00-13:10,1.533926589,0,0,0,423.1826099,1200,1200,619.3742333,1041.022917,-421.6486833,24
2025-02-01,80,13:10-13:20,1.605844213,0,0,0,424.3302775,1200,1200,606.5044,1029.228833,-422.7244333,24
2025-02-01,81,13:20-13:30,1.930768637,0,0,0,412.1986853,1200,1200,607.0133333,1017.28125,-410.2679167,24
2025-02-01,82,13:30-13:40,2.160708094,0,0,0,394.6364248,1200,1200,606.3183333,998.79405,-392.4757167,24
2025-02-01,83,13:40-13:50,2.50535474,0,0,0,326.2124881,1200,1200,624.9272167,948.63435,-323.7071333,24
2025-02-01,84,13:50-14:00,2.90585369,0,0,0,236.4483537,1200,1200,641.645,875.1875,-233.5425,24
2025-02-01,85,14:00-14:10,3.065032063,0,0,0,205.9650654,1200,1200,612.7233833,815.6234167,-202.9000333,24
2025-02-01,86,14:10-14:20,3.375089701,0,0,0,169.6439064,1200,1200,603.26775,769.5365667,-166.2688167,24
2025-02-01,87,14:20-14:30,3.905185992,0,0,0,120.4935193,1200,1200,610.8116667,727.4,-116.5883333,24
2025-02-01,88,14:30-14:40,4.334870026,0,0,0,116.7791867,1200,1200,571.6230833,684.0674,-112.4443167,24
2025-02-01,89,14:40-14:50,4.77170857,42.21802062,0,0,56.32092128,1200,1237.996219,554.5942,648.3614333,-93.76723333,24
2025-02-01,90,14:50-15:00,6.504011169,42.30567784,0,0,1.421085472e-14,1237.996219,1276.071329,578.9233333,614.725,-35.80166667,24
2025-02-01,91,15:00-15:10,24.15958339,0,4.269566608,0,0,1276.071329,1271.327366,593.822,565.39285,28.42915,24
2025-02-01,92,15:10-15:20,92.61538572,0,5.31868095,0,0,1271.327366,1265.41772,603.3700333,505.4359667,97.93406667,24
2025-02-01,93,15:20-15:30,136.9011094,0,21.11639058,0,0,1265.41772,1241.955064,608.655,450.6375,158.0175,24
2025-02-01,94,15:30-15:40,156.0673157,0,27.0930343,0,0,1241.955064,1211.851693,596.78865,413.6283,183.16035,24
2025-02-01,95,15:40-15:50,183.4715267,0,10.66652332,0,0,1211.851693,1200,570.11095,375.9729,194.13805,24
2025-02-01,96,15:50-16:00,227.5632929,0,0,0,7.744542927,1200,1200,548.75,328.93125,219.81875,24
2025-02-01,97,16:00-16:10,273.0260288,0,0,0,0.1176787737,1200,1200,554.0824,281.17405,272.90835,24
2025-02-01,98,16:10-16:20,340.7165144,0,0,0,22.12196438,1200,1200,559.0360667,240.4415167,318.59455,24
2025-02-01,99,16:20-16:30,414.9756759,0,0,0,54.23150928,1200,1200,563.1066667,202.3625,360.7441667,24
2025-02-01,100,16:30-16:40,446.9511228,0,0,0,22.18385617,1200,1200,580.2863,155.5190333,424.7672667,24
2025-02-01,101,16:40-16:50,439.5228635,0,0,0,13.41631352,1200,1200,532.8180167,106.7114667,426.10655,24
2025-02-01,102,16:50-17:00,427.3047752,0,0,0,40.23102523,1200,1200,446.78,59.70625,387.07375,24
2025-02-01,103,17:00-17:10,448.5387787,0,0,0,30.89269539,1200,1200,433.5435167,15.89743333,417.6460833,24
2025-02-01,104,17:10-17:20,477.9176888,0,0,0,38.13688876,1200,1200,439.7808,0,439.7808,24
2025-02-01,105,17:20-17:30,489.6494289,32.21461549,0,0,21.29814677,1200,1228.993154,436.1366667,0,436.1366667,24
2025-02-01,106,17:30-17:40,451.861366,6.555649367,0,0,-0,1228.993154,1234.893238,445.9951667,0.68945,445.3057167,24
2025-02-01,107,17:40-17:50,451.5622849,11.66965161,0,0,-0,1234.893238,1245.395925,439.8926333,0,439.8926333,24
2025-02-01,108,17:50-18:00,484.577095,56.10709496,0,0,-0,1245.395925,1295.89231,428.47,0,428.47,24
2025-02-01,109,18:00-18:10,465.3278007,11.19275065,0,0,-0,1295.89231,1305.965786,454.18455,0.0495,454.13505,24
2025-02-01,110,18:10-18:20,441.38513,0,30.88018663,0,0,1305.965786,1271.654467,472.2653167,0,472.2653167,24
2025-02-01,111,18:20-18:30,428.4571595,0,25.71117379,0,0,1271.654467,1243.086497,454.1683333,0,454.1683333,24
2025-02-01,112,18:30-18:40,402.0114008,0,16.36123257,0,0,1243.086497,1224.907349,418.3761833,0.00355,418.3726333,24
2025-02-01,113,18:40-18:50,434.6286157,20.54638242,0,0,-0,1224.907349,1243.399093,414.0822333,0,414.0822333,24
2025-02-01,114,18:50-19:00,490.4981716,58.35983822,0,0,-0,1243.399093,1295.922948,432.1383333,0,432.1383333,24
2025-02-01,115,19:00-19:10,454.4695589,30.45544224,0,0,-0,1295.922948,1323.332846,424.0143667,0.00025,424.0141167,24
