date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan
2025-02-01,47644.53076,738.750469,598.3878799,0,13125.99223,1200,1200,35556.12588,0,35556.12588,1200,1403.792171,24,1.183052796,kernel,37616.05568
2025-02-02,88936.34116,191.7686547,155.3326103,0,10543.62716,1200,1200,69446.59465,0,69446.59465,1200,1323.656751,25,5.189447041,kernel,69790.14251
2025-02-03,88015.02854,874.6761208,708.4876578,0,7631.923581,1200,1200,68048.91321,0,68048.91321,1200,1352.048422,26,3.706559377,kernel,68397.38396
2025-02-04,85517.30762,2232.383143,1808.230346,0,3898.290874,1200,1200,66710.37699,0,66710.37699,1200,2334.082905,27,3.906985466,kernel,67680.14301
2025-02-05,85183.69542,1370.313827,1109.9542,0,4174.908809,1200,1200,66644.78725,0,66644.78725,1200,2111.330288,28,4.652718053,kernel,67473.42996
2025-02-06,85327.33262,1148.210669,930.0506419,0,4838.115377,1200,1200,66764.39001,0,66764.39001,1200,1401.809465,29,6.405470468,kernel,67771.87383
2025-02-07,48287.66173,341.4688694,276.5897842,0,16417.10298,1200,1200,35750.27565,0,35750.27565,1200,1301.85383,30,2.630679646,kernel,40083.92656
2025-02-08,47035.43758,410.7623391,332.7174946,0,15380.23002,1200,1200,34634.0876,0,34634.0876,1200,1297.191642,31,2.548532372,kernel,36021.4602
2025-02-09,82492.68683,1521.984515,1232.807457,0,2648.093808,1200,1200,65166.00602,0,65166.00602,1200,1896.641129,32,5.966575633,kernel,66321.67296
2025-02-10,82606.99866,718.0568359,581.6260371,0,8143.930278,1200,1200,65205.06058,0,65205.06058,1200,1481.106983,33,6.908601268,kernel,66358.26302
2025-02-11,82499.22237,461.1378423,373.5216523,0,7191.009044,1200,1200,64653.71716,0,64653.71716,1200,1419.288056,34,6.551362381,kernel,65323.38079
2025-02-12,81805.18401,853.0719851,690.988308,0,6376.364199,1200,1200,64063.46553,0,64063.46553,1200,1399.953671,35,6.397616284,kernel,64690.94891
2025-02-13,81624.47282,519.4277628,420.7364879,0,10196.30253,1200,1200,63735.59394,0,63735.59394,1200,1377.447402,36,5.77501133,kernel,64139.03689
2025-02-14,46461.08833,399.261712,323.4019867,0,16583.42679,1200,1200,34406.3609,0,34406.3609,1200,1389.480367,37,2.575405224,kernel,39663.27007
2025-02-15,44493.0806,827.4245794,670.2139093,0,15055.77883,1200,1200,32788.19205,0,32788.19205,1200,1584.133131,38,1.820208055,kernel,34659.17489
