stage,feature,description,groups_before,groups_after,h,mean_es_before,mean_es_after,relative_improvement_pct,improved_days,validation_days,improved_fraction,passes_rule,accepted,reason,retained_in_final_rule,structural_exception
structural,season,月份圆周位置（sin/cos 是同一个季节特征的两维编码，取自然尺度）,,season,1,1334.485697,1324.824594,0.7239570106,257,334,0.7694610778,True,False,required_calendar_prior_not_identifiable_in_a_single_season,True,True
forward,net_lag_7d,七个完整日前的净负荷日总电量（kWh），即上周同一星期几,season,season;net_lag_7d,1,1324.824594,741.5068901,44.0298064,320,334,0.9580838323,True,True,pass,True,False
forward,weekday7,星期几的七维指示编码（同一星期几距离为 0，取自然尺度）,season;net_lag_7d,season;net_lag_7d;weekday7,1,741.5068901,726.2596954,2.056244516,144,334,0.4311377246,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,load_mean_3d,前三个完整日的负载日总电量均值（kWh）,season;net_lag_7d,season;net_lag_7d;load_mean_3d,1,741.5068901,735.861731,0.7613090573,164,334,0.4910179641,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,pv_mean_3d,前三个完整日的光伏日总电量均值（kWh）,season;net_lag_7d,season;net_lag_7d;pv_mean_3d,1,741.5068901,620.3777338,16.33554023,291,334,0.871257485,True,True,pass,True,False
forward,weekend,周六或周日标志；不判断法定节假日及调休,season;net_lag_7d;pv_mean_3d,season;net_lag_7d;pv_mean_3d;weekend,1,620.3777338,625.7585126,-0.8673391273,171,334,0.5119760479,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,load_lag_7d,七个完整日前的负载日总电量（kWh）,season;net_lag_7d;pv_mean_3d,season;net_lag_7d;pv_mean_3d;load_lag_7d,1,620.3777338,556.8742795,10.2362562,246,334,0.7365269461,True,True,pass,True,False
forward,pv_lag_7d,七个完整日前的光伏日总电量（kWh）,season;net_lag_7d;pv_mean_3d;load_lag_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;pv_lag_7d,1,556.8742795,555.9153454,0.1721993901,222,334,0.6646706587,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,net_mean_7d,前七个完整日的净负荷日总电量均值（kWh）,season;net_lag_7d;pv_mean_3d;load_lag_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,1,556.8742795,553.097425,0.6782239097,232,334,0.6946107784,True,True,pass,True,False
forward,net_mean_3d,前三个完整日的净负荷日总电量均值（kWh）,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d;net_mean_3d,1,553.097425,570.8300953,-3.206066326,114,334,0.3413173653,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,load_std_7d,前七个完整日负载日总电量的总体标准差（kWh，ddof=0）,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d;load_std_7d,1,553.097425,608.3538582,-9.99036167,141,334,0.4221556886,False,False,insufficient_mean_gain_or_daily_stability,False,False
forward,pv_std_7d,前七个完整日光伏日总电量的总体标准差（kWh，ddof=0）,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d;pv_std_7d,1,553.097425,565.1193519,-2.173564075,135,334,0.4041916168,False,False,insufficient_mean_gain_or_daily_stability,False,False
conditional_1,net_lag_7d,七个完整日前的净负荷日总电量（kWh），即上周同一星期几,season;pv_mean_3d;load_lag_7d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,1,598.7524093,553.097425,7.625018888,234,334,0.7005988024,True,True,pass,True,False
conditional_1,pv_mean_3d,前三个完整日的光伏日总电量均值（kWh）,season;net_lag_7d;load_lag_7d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,1,578.058666,553.097425,4.318115525,244,334,0.7305389222,True,True,pass,True,False
conditional_1,load_lag_7d,七个完整日前的负载日总电量（kWh）,season;net_lag_7d;pv_mean_3d;net_mean_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,1,610.2855435,553.097425,9.370714919,252,334,0.754491018,True,True,pass,True,False
conditional_1,net_mean_7d,前七个完整日的净负荷日总电量均值（kWh）,season;net_lag_7d;pv_mean_3d;load_lag_7d,season;net_lag_7d;pv_mean_3d;load_lag_7d;net_mean_7d,1,556.8742795,553.097425,0.6782239097,232,334,0.6946107784,True,True,pass,True,False
