stage,feature,date,es_before,es_after,relative_improvement_pct
structural,season,2025-02-01,2678.05216,2678.05216,0
structural,season,2025-02-02,714.8465792,719.7754871,-0.6895057017
structural,season,2025-02-03,648.3661837,649.8829294,-0.2339334939
structural,season,2025-02-04,575.2210431,575.0620631,0.02763806269
structural,season,2025-02-05,580.0157225,576.2513518,0.6490118451
structural,season,2025-02-06,569.291069,562.9187679,1.119339738
structural,season,2025-02-07,2959.327315,2959.595613,-0.009066185953
structural,season,2025-02-08,2790.766029,2773.923014,0.6035265806
structural,season,2025-02-09,645.5889751,645.9509401,-0.05606741359
structural,season,2025-02-10,814.5101837,807.6529788,0.8418808065
structural,season,2025-02-11,698.529409,689.1685515,1.340080661
structural,season,2025-02-12,694.0366267,683.0311346,1.585722091
structural,season,2025-02-13,903.7856877,889.3795484,1.593977365
structural,season,2025-02-14,2909.204972,2890.212979,0.6528241536
structural,season,2025-02-15,2832.3639,2801.922775,1.074760372
structural,season,2025-02-16,706.5700917,699.4022287,1.014458878
structural,season,2025-02-17,842.6559879,827.9472915,1.745516154
structural,season,2025-02-18,754.8432385,740.1280711,1.949433557
structural,season,2025-02-19,744.5631906,729.6899026,1.99758572
structural,season,2025-02-20,790.7943292,773.389951,2.200872913
structural,season,2025-02-21,3130.972396,3100.823792,0.9629150214
structural,season,2025-02-22,2774.468501,2738.233475,1.306016841
structural,season,2025-02-23,755.7871737,742.8173895,1.71606302
structural,season,2025-02-24,871.6179628,852.9341593,2.143577152
structural,season,2025-02-25,1014.05536,992.9083513,2.085389924
structural,season,2025-02-26,801.2617,782.0037458,2.40345373
structural,season,2025-02-27,905.0020857,884.7481364,2.238000297
structural,season,2025-02-28,3160.633425,3124.197314,1.152810386
structural,season,2025-03-01,2456.317335,2456.317335,0
structural,season,2025-03-02,910.5907166,917.4516465,-0.753459249
structural,season,2025-03-03,701.9143512,705.2608124,-0.4767620407
structural,season,2025-03-04,616.2752659,616.2129861,0.01010584148
structural,season,2025-03-05,660.104223,657.8552049,0.3407065049
structural,season,2025-03-06,653.9569606,648.6578588,0.8103135315
structural,season,2025-03-07,2776.045551,2779.784688,-0.1346929512
structural,season,2025-03-08,2812.955879,2800.755914,0.4337062532
structural,season,2025-03-09,767.198877,765.9367862,0.1645063326
structural,season,2025-03-10,712.4136643,712.3196729,0.01319336809
structural,season,2025-03-11,705.6910392,700.7953209,0.6937481267
structural,season,2025-03-12,739.2225753,731.166822,1.08976019
structural,season,2025-03-13,772.9466653,768.3468303,0.5951038042
structural,season,2025-03-14,3095.943268,3082.604451,0.4308482582
structural,season,2025-03-15,2580.606741,2560.285281,0.7874682936
structural,season,2025-03-16,735.9699321,731.3174788,0.6321526307
structural,season,2025-03-17,916.0911789,905.5820997,1.147165205
structural,season,2025-03-18,692.6171674,684.6658116,1.148015993
structural,season,2025-03-19,755.2508052,744.4808409,1.426011638
structural,season,2025-03-20,653.4157351,642.7462017,1.632885891
structural,season,2025-03-21,3365.091391,3341.013662,0.7155148445
structural,season,2025-03-22,2812.419539,2781.632379,1.094685867
structural,season,2025-03-23,836.3996778,827.0882166,1.113278905
structural,season,2025-03-24,791.8549613,779.8910752,1.510868364
structural,season,2025-03-25,723.7857591,715.429089,1.154577854
structural,season,2025-03-26,904.2973306,889.3310115,1.65502192
structural,season,2025-03-27,747.3448559,733.6603972,1.831076857
structural,season,2025-03-28,3270.300238,3238.990196,0.9574057324
structural,season,2025-03-29,3544.776982,3506.495577,1.079938314
structural,season,2025-03-30,859.8858721,845.1027012,1.719201514
structural,season,2025-03-31,812.61064,798.6499738,1.718001897
structural,season,2025-04-01,759.9258482,759.9258482,0
structural,season,2025-04-02,761.7704645,758.9719145,0.3673744414
structural,season,2025-04-03,666.5700022,665.1662124,0.2105990037
structural,season,2025-04-04,3147.104506,3161.165691,-0.4467975235
structural,season,2025-04-05,2465.400337,2462.093411,0.134133423
structural,season,2025-04-06,675.5818128,676.7170469,-0.1680379928
structural,season,2025-04-07,784.2233397,782.9730915,0.159425014
structural,season,2025-04-08,714.7622656,712.2698139,0.3487105796
structural,season,2025-04-09,644.1960602,644.7012832,-0.07842689323
structural,season,2025-04-10,705.6543464,701.1510932,0.6381670034
structural,season,2025-04-11,3109.100699,3103.592391,0.1771672379
structural,season,2025-04-12,2629.484159,2614.933627,0.5533606996
structural,season,2025-04-13,660.3191418,659.3955077,0.1398769147
structural,season,2025-04-14,694.0340414,688.7652121,0.7591600683
structural,season,2025-04-15,819.3617676,813.1976363,0.7523088758
structural,season,2025-04-16,638.8434991,635.9440451,0.4538598169
structural,season,2025-04-17,636.3537041,629.4432035,1.085952757
structural,season,2025-04-18,2828.332527,2813.362984,0.5292709601
structural,season,2025-04-19,2686.820818,2664.670783,0.8243957022
structural,season,2025-04-20,686.1224692,681.8196243,0.6271249076
structural,season,2025-04-21,836.9074749,827.4011172,1.135891121
structural,season,2025-04-22,680.6952456,674.4106199,0.9232656985
structural,season,2025-04-23,707.744788,699.4336598,1.174311478
structural,season,2025-04-24,839.5215033,827.3064266,1.455004628
structural,season,2025-04-25,3115.958153,3092.996459,0.7369063704
structural,season,2025-04-26,3301.358476,3273.225472,0.8521644628
structural,season,2025-04-27,774.2911411,766.5004532,1.006170356
structural,season,2025-04-28,846.293408,852.3111741,-0.7110732614
structural,season,2025-04-29,793.9569183,783.4879901,1.318576359
structural,season,2025-04-30,822.7934096,813.0186088,1.188001835
