date,pool_size,oldest_gap_days,month_span,same_weekday_in_pool,lag7_rank,lag7_rank_share,lag7_daily_net_gap_kwh
2025-02-01,24,24,0,True,1,0.04166666667,4061.399533
2025-02-02,25,25,1,True,6,0.24,9342.712083
2025-02-03,26,26,1,True,5,0.1923076923,3978.000283
2025-02-04,27,27,1,True,7,0.2592592593,5785.535417
2025-02-05,28,28,1,True,3,0.1071428571,636.7740667
2025-02-06,29,29,1,True,7,0.2413793103,3471.525567
2025-02-07,30,30,1,True,3,0.1,6958.643383
2025-02-08,31,31,1,True,2,0.06451612903,2801.013217
2025-02-09,32,32,1,True,4,0.125,1199.138017
2025-02-10,33,33,1,True,3,0.09090909091,5890.278917
2025-02-11,34,34,1,True,7,0.2058823529,5974.266817
2025-02-12,35,35,1,True,7,0.2,5481.69085
2025-02-13,36,36,1,True,7,0.1944444444,8941.5782
2025-02-14,37,37,1,True,2,0.05405405405,2003.87785
2025-02-15,38,38,1,True,2,0.05263157895,2297.071617
2025-02-16,39,39,1,True,6,0.1538461538,4178.036867
2025-02-17,40,40,1,True,2,0.05,3142.774417
2025-02-18,41,41,1,True,4,0.09756097561,3129.20935
2025-02-19,42,42,1,True,6,0.1428571429,2387.40875
2025-02-20,43,43,1,True,2,0.04651162791,336.3452833
2025-02-21,44,44,1,True,2,0.04545454545,4241.539783
2025-02-22,45,45,1,True,1,0.02222222222,1435.328217
2025-02-23,46,46,1,True,9,0.1956521739,3845.525417
2025-02-24,47,47,1,True,2,0.04255319149,2980.82955
2025-02-25,48,48,1,True,6,0.125,6270.06455
2025-02-26,49,49,1,True,8,0.1632653061,4064.47935
2025-02-27,50,50,1,True,4,0.08,4036.549533
2025-02-28,51,51,1,True,1,0.01960784314,2267.668483
2025-03-01,28,28,0,True,3,0.1071428571,4185.99695
2025-03-02,29,29,1,True,3,0.1034482759,826.4533833
2025-03-03,30,30,1,True,13,0.4333333333,3814.113017
2025-03-04,31,31,1,True,11,0.3548387097,3378.1347
2025-03-05,32,32,1,True,4,0.125,2684.376017
2025-03-06,33,33,1,True,3,0.09090909091,1015.930067
2025-03-07,34,34,1,True,1,0.02941176471,2370.308017
2025-03-08,35,35,1,True,3,0.08571428571,4595.626417
2025-03-09,36,36,1,True,14,0.3888888889,9024.782017
2025-03-10,37,37,1,True,12,0.3243243243,3975.075183
2025-03-11,38,38,1,True,9,0.2368421053,5260.539133
2025-03-12,39,39,1,True,5,0.1282051282,3694.937333
2025-03-13,40,40,1,True,6,0.15,1604.963883
2025-03-14,41,41,1,True,2,0.0487804878,4892.85955
2025-03-15,42,42,1,True,2,0.04761904762,1860.985633
2025-03-16,43,43,1,True,1,0.02325581395,17.52188333
2025-03-17,44,44,1,True,10,0.2272727273,10183.94002
2025-03-18,45,45,1,True,4,0.08888888889,2812.960433
2025-03-19,46,46,1,True,3,0.0652173913,2970.064233
2025-03-20,47,47,1,True,12,0.2553191489,5336.6562
2025-03-21,48,48,1,True,1,0.02083333333,3995.961467
2025-03-22,49,49,1,True,5,0.1020408163,5042.925417
2025-03-23,50,50,1,True,7,0.14,4581.326817
2025-03-24,51,51,1,True,1,0.01960784314,140.36565
2025-03-25,52,52,1,True,1,0.01923076923,175.83365
2025-03-26,53,53,1,True,4,0.07547169811,3872.915583
2025-03-27,54,54,1,True,8,0.1481481481,3491.972417
2025-03-28,55,55,1,True,1,0.01818181818,1211.58375
2025-03-29,56,56,1,True,3,0.05357142857,8173.99055
2025-03-30,57,57,1,True,5,0.08771929825,3424.100417
2025-03-31,58,58,1,True,2,0.03448275862,1047.1076
2025-04-01,31,31,0,True,1,0.03225806452,741.2732
2025-04-02,32,32,1,True,15,0.46875,4842.780533
2025-04-03,33,33,1,True,6,0.1818181818,2853.459133
2025-04-04,34,34,1,True,2,0.05882352941,4391.078517
2025-04-05,35,35,1,True,5,0.1428571429,4336.9058
2025-04-06,36,36,1,True,1,0.02777777778,935.5434333
2025-04-07,37,37,1,True,5,0.1351351351,3708.6702
2025-04-08,38,38,1,True,12,0.3157894737,5855.6579
2025-04-09,39,39,1,True,7,0.1794871795,1301.024383
2025-04-10,40,40,1,True,6,0.15,1402.892367
2025-04-11,41,41,1,True,1,0.0243902439,1114.152083
2025-04-12,42,42,1,True,5,0.119047619,3018.954433
2025-04-13,43,43,1,True,2,0.04651162791,133.7177833
2025-04-14,44,44,1,True,1,0.02272727273,714.6874833
2025-04-15,45,45,1,True,4,0.08888888889,4213.764783
2025-04-16,46,46,1,True,15,0.3260869565,3354.719067
2025-04-17,47,47,1,True,6,0.1276595745,1592.29555
2025-04-18,48,48,1,True,2,0.04166666667,1037.467017
2025-04-19,49,49,1,True,5,0.1020408163,2240.4813
2025-04-20,50,50,1,True,5,0.1,2318.6136
2025-04-21,51,51,1,True,3,0.05882352941,4011.121417
2025-04-22,52,52,1,True,5,0.09615384615,2013.500483
2025-04-23,53,53,1,True,14,0.2641509434,4379.675233
