lag_days,load,pv,net
1,0.3736387254,0.964318086,0.4698566923
2,-0.2540448518,0.9569383058,-0.0649546103
3,-0.2579765931,0.9547459923,-0.07785024317
4,-0.2575461522,0.9487535955,-0.07844821888
5,-0.2533587363,0.9429818868,-0.0671109167
6,0.3679837662,0.9384869509,0.4574491991
7,0.9879554986,0.9294352914,0.9730333446
8,0.3630407102,0.9222553601,0.4444482535
9,-0.2635705244,0.9135356595,-0.09761427456
10,-0.2679161484,0.9027476861,-0.1127648541
11,-0.2671461634,0.8956136116,-0.1146028239
12,-0.2625693275,0.8902683902,-0.1026753422
13,0.3573945717,0.8728160585,0.425848257
14,0.9759194477,0.8603082086,0.9469093128
