date,mode,pool_size,k_eff
2025-01-01,empty_pool,0,0
2025-01-02,empty_pool,0,0
2025-01-03,empty_pool,0,0
2025-01-04,empty_pool,0,0
2025-01-05,empty_pool,0,0
2025-01-06,empty_pool,0,0
2025-01-07,empty_pool,0,0
2025-01-08,empty_pool,0,0
2025-01-09,cold_start_equal,1,1
2025-01-10,kernel,2,1
2025-01-11,kernel,3,1.524167668
2025-01-12,kernel,4,1.220670539
2025-01-13,kernel,5,1.804335838
2025-01-14,kernel,6,1.595475793
2025-01-15,kernel,7,1.006886032
2025-01-16,kernel,8,1.633513091
2025-01-17,kernel,9,2.16058836
2025-01-18,kernel,10,1.042307908
2025-01-19,kernel,11,2.453386014
2025-01-20,kernel,12,2.133468519
2025-01-21,kernel,13,3.254526631
2025-01-22,kernel,14,3.088908415
2025-01-23,kernel,15,2.316220807
2025-01-24,kernel,16,2.011075823
2025-01-25,kernel,17,1.921647759
2025-01-26,kernel,18,2.787842285
2025-01-27,kernel,19,3.215899787
2025-01-28,kernel,20,3.592398857
2025-01-29,kernel,21,6.315023052
2025-01-30,kernel,22,4.742056918
2025-01-31,kernel,23,2.570247003
2025-02-01,kernel,24,1.183052796
2025-02-02,kernel,25,5.189447041
2025-02-03,kernel,26,3.706559377
2025-02-04,kernel,27,3.906985466
2025-02-05,kernel,28,4.652718053
2025-02-06,kernel,29,6.405470468
2025-02-07,kernel,30,2.630679646
2025-02-08,kernel,31,2.548532372
2025-02-09,kernel,32,5.966575633
2025-02-10,kernel,33,6.908601268
2025-02-11,kernel,34,6.551362381
2025-02-12,kernel,35,6.397616284
2025-02-13,kernel,36,5.77501133
2025-02-14,kernel,37,2.575405224
2025-02-15,kernel,38,1.820208055
2025-02-16,kernel,39,6.007248874
2025-02-17,kernel,40,7.986863545
2025-02-18,kernel,41,7.557415071
2025-02-19,kernel,42,7.722967903
2025-02-20,kernel,43,7.796786083
2025-02-21,kernel,44,2.706965785
2025-02-22,kernel,45,3.573249113
2025-02-23,kernel,46,9.359203993
2025-02-24,kernel,47,10.19527029
2025-02-25,kernel,48,10.52942206
2025-02-26,kernel,49,9.618092306
2025-02-27,kernel,50,9.703443685
2025-02-28,kernel,51,3.924866858
2025-03-01,kernel,28,3.597924448
2025-03-02,kernel,29,8.936765061
2025-03-03,kernel,30,11.56355504
2025-03-04,kernel,31,13.12947272
2025-03-05,kernel,32,14.04316997
2025-03-06,kernel,33,14.29041677
2025-03-07,kernel,34,5.248016128
2025-03-08,kernel,35,5.715796066
2025-03-09,kernel,36,12.89755277
2025-03-10,kernel,37,11.74796499
2025-03-11,kernel,38,12.48786439
2025-03-12,kernel,39,12.63865432
2025-03-13,kernel,40,12.54300922
2025-03-14,kernel,41,5.475665183
2025-03-15,kernel,42,5.792984498
2025-03-16,kernel,43,14.10356743
2025-03-17,kernel,44,13.63072765
2025-03-18,kernel,45,12.21904403
2025-03-19,kernel,46,11.41647343
2025-03-20,kernel,47,11.02660819
2025-03-21,kernel,48,5.408683269
2025-03-22,kernel,49,5.464399963
2025-03-23,kernel,50,11.90450551
2025-03-24,kernel,51,10.82467826
2025-03-25,kernel,52,12.38108594
2025-03-26,kernel,53,12.88556861
2025-03-27,kernel,54,12.58815289
2025-03-28,kernel,55,5.170440917
2025-03-29,kernel,56,5.522490021
2025-03-30,kernel,57,11.42360066
2025-03-31,kernel,58,11.21560788
2025-04-01,kernel,31,7.574699714
2025-04-02,kernel,32,9.955227906
2025-04-03,kernel,33,12.53059098
2025-04-04,kernel,34,4.373110871
2025-04-05,kernel,35,4.442887292
2025-04-06,kernel,36,10.68685242
2025-04-07,kernel,37,11.36356786
2025-04-08,kernel,38,12.46732365
2025-04-09,kernel,39,12.20812502
2025-04-10,kernel,40,14.09104102
2025-04-11,kernel,41,5.118456781
2025-04-12,kernel,42,6.033245976
2025-04-13,kernel,43,13.18584219
2025-04-14,kernel,44,14.17348927
2025-04-15,kernel,45,15.44869139
2025-04-16,kernel,46,15.22324384
2025-04-17,kernel,47,16.00888402
2025-04-18,kernel,48,5.981744463
2025-04-19,kernel,49,7.247524031
2025-04-20,kernel,50,16.93195549
2025-04-21,kernel,51,17.45809319
2025-04-22,kernel,52,16.72425554
2025-04-23,kernel,53,17.98367065
2025-04-24,kernel,54,17.96141731
2025-04-25,kernel,55,6.500087882
2025-04-26,kernel,56,6.368485569
2025-04-27,kernel,57,14.8973089
2025-04-28,kernel,58,15.47602562
2025-04-29,kernel,59,20.7435446
2025-04-30,kernel,60,21.69250819
2025-05-01,kernel,30,9.46355995
2025-05-02,kernel,31,2.498491897
2025-05-03,kernel,32,5.949359749
2025-05-04,kernel,33,16.76637727
2025-05-05,kernel,34,17.58755304
2025-05-06,kernel,35,17.23446726
2025-05-07,kernel,36,17.52716152
2025-05-08,kernel,37,19.49643942
2025-05-09,kernel,38,8.142201567
2025-05-10,kernel,39,8.190637525
2025-05-11,kernel,40,21.17078497
2025-05-12,kernel,41,21.38040604
2025-05-13,kernel,42,22.35129784
2025-05-14,kernel,43,21.6688441
2025-05-15,kernel,44,20.91436363
2025-05-16,kernel,45,8.114690565
2025-05-17,kernel,46,8.861106529
2025-05-18,kernel,47,22.01695505
2025-05-19,kernel,48,22.43522321
2025-05-20,kernel,49,22.56561774
2025-05-21,kernel,50,22.46929279
2025-05-22,kernel,51,21.64674555
2025-05-23,kernel,52,9.505039674
2025-05-24,kernel,53,10.17679031
2025-05-25,kernel,54,21.02727119
2025-05-26,kernel,55,18.04407024
2025-05-27,kernel,56,23.74879678
2025-05-28,kernel,57,23.70582407
2025-05-29,kernel,58,28.10344594
2025-05-30,kernel,59,10.87039165
2025-05-31,kernel,60,12.25291176
2025-06-01,kernel,31,15.74234225
2025-06-02,kernel,32,4.882773266
2025-06-03,kernel,33,2.436700095
2025-06-04,kernel,34,1.028496476
2025-06-05,kernel,35,1.228512026
2025-06-06,kernel,36,1.826765242
2025-06-07,kernel,37,1.006129886
