date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,storage_start,storage_end,plan_cost_yuan,emergency_cost_yuan,daily_cost_yuan,storage_min,storage_max,pool_size,k_eff,mode,objective_yuan,theta_mean,theta_total_yuan,tangent_count,value_at_s_min,value_at_s_max,dec_storage_end_mean,dec_storage_end_min,dec_storage_end_max,dec_plan_kwh,solver_path
2025-02-01,47842.94081,738.750469,598.3878799,0,13324.40229,1200,1200,35629.80162,0,35629.80162,1200,1403.792171,24,1.183052796,kernel,74551.93818,37464.30241,36932.94215,63,37616.05568,36815.08245,8740.115409,1200,8974.392632,480.9372393,highs+presolve
2025-02-02,90225.35199,191.7686547,155.3326103,0,11832.638,1200,1200,69998.87992,0,69998.87992,1200,1323.656751,25,5.189447041,kernel,138610.3264,68807.51246,68519.02011,41,69790.14251,67806.2197,4091.845039,1200,8591.773015,39.61016582,highs+presolve
2025-02-03,88816.23063,830.4378623,672.6546685,0,8441.530933,1200,1200,68379.46021,0,68379.46021,1200,1352.048422,26,3.706559377,kernel,135099.7298,67134.82481,66551.8175,48,68397.38396,65509.57301,5427.81326,1200,10799.76952,74.05458467,highs+presolve
2025-02-04,88270.91996,2110.775017,1709.727764,0,6675.008753,1200,1200,67893.99335,0,67893.99335,1200,2334.082905,27,3.906985466,kernel,133821.2428,66477.71484,65756.77024,50,67680.14301,64978.64868,5874.841604,1200,10798.65165,72.83889968,highs+presolve
2025-02-05,87086.31641,1256.43566,1017.712885,0,6099.166649,1200,1200,67458.71976,0,67458.71976,1200,2067.253342,28,4.652718053,kernel,133723.3201,66450.92395,65909.98818,55,67473.42996,65071.1185,4887.318342,1200,10723.06072,149.0708283,highs+presolve
2025-02-06,88175.37326,942.7231667,763.605765,0,7725.198641,1200,1200,67985.03332,0,67985.03332,1200,1401.809465,29,6.405470468,kernel,134184.9886,66589.0942,65991.17296,55,67771.87383,65231.24747,5511.489192,1200,10786.70576,88.98336428,highs+presolve
2025-02-07,48391.98815,341.4688694,276.5897842,0,16521.4294,1200,1200,35791.54788,0,35791.54788,1200,1301.85383,30,2.630679646,kernel,78521.72298,39743.78954,38435.63545,65,40083.92656,38211.00481,9344.446392,1200,10618.39016,1011.079327,highs+presolve
2025-02-08,47035.43758,410.7623391,332.7174946,0,15380.23002,1200,1200,34634.0876,0,34634.0876,1200,1297.191642,31,2.548532372,kernel,70970.84532,35758.58892,34949.37546,62,36021.4602,34901.80116,9894.351914,1200,10683.06079,334.1412967,highs+presolve
2025-02-09,85236.66964,1328.354022,1075.966758,0,5428.866412,1200,1200,66337.11456,0,66337.11456,1200,1863.562233,32,5.966575633,kernel,131930.7721,65501.0912,65230.44446,62,66321.67296,64395.24214,3868.543476,1200,10799.52364,138.8822431,highs+presolve
2025-02-10,85337.91157,569.5761143,461.3566526,0,10903.05453,1200,1200,66371.76326,0,66371.76326,1200,1447.402065,33,6.908601268,kernel,131978.9941,65506.59708,65225.70179,64,66358.26302,64388.72987,3971.223746,1200,10799.61045,144.8384446,highs+presolve
2025-02-11,84488.55539,401.5874602,325.2858428,0,9191.656642,1200,1200,65507.90205,0,65507.90205,1200,1419.288056,34,6.551362381,kernel,129905.0972,64477.57384,64096.17833,55,65323.38079,63385.23651,4285.166708,1200,10799.44552,110.139677,highs+presolve
2025-02-12,82715.42647,773.6263197,626.6373189,0,7301.701338,1200,1200,64454.63632,0,64454.63632,1200,1393.902616,35,6.397616284,kernel,128461.2756,63936.05701,63664.28331,54,64690.94891,62711.25326,3727.581514,1200,10791.11121,115.5589814,highs+presolve
2025-02-13,81945.62841,530.9425624,430.0634755,0,10515.27031,1200,1200,63870.13213,0,63870.13213,1200,1377.447402,36,5.77501133,kernel,127073.1076,63391.58038,62901.5045,55,64139.03689,62140.42478,4144.865833,1200,10799.3733,108.6466677,highs+presolve
2025-02-14,46461.08833,399.261712,323.4019867,0,16583.42679,1200,1200,34406.3609,0,34406.3609,1200,1389.480367,37,2.575405224,kernel,77034.03163,39200.71649,37370.75171,62,39663.27007,37202.04688,10061.07486,1200,10752.2444,1294.046816,highs+presolve
2025-02-15,44493.0806,827.4245794,670.2139093,0,15055.77883,1200,1200,32788.19205,0,32788.19205,1200,1584.133131,38,1.820208055,kernel,68161.5202,34398.04866,33502.33506,62,34659.17489,33471.94263,10427.05255,1200,10781.4811,472.2141541,highs+presolve
2025-02-16,81947.28829,1675.04735,1356.788353,0,6251.65019,1200,1200,63239.12388,0,63239.12388,1200,2165.388229,39,6.007248874,kernel,125224.4779,62398.83312,61689.671,48,63431.04261,60942.14372,5419.906171,1200,10799.07417,105.3030701,highs+presolve
2025-02-17,82029.27124,572.8764389,464.0299155,0,10736.56155,1200,1200,63371.02063,0,63371.02063,1200,1523.49445,40,7.986863545,kernel,125704.4271,62569.81016,61989.39444,51,63614.71907,61158.80839,5035.356546,1200,10799.20074,118.1858279,highs+presolve
2025-02-18,81789.45702,422.5958472,342.3026362,0,9617.776026,1200,1200,62852.8592,0,62852.8592,1200,1331.838772,41,7.557415071,kernel,124179.5356,61850.03071,61046.48294,49,62985.01466,60347.65808,5843.333125,1200,10796.11499,97.51815817,highs+presolve
2025-02-19,81272.47949,1615.467943,1308.529034,0,8086.213197,1200,1200,62398.93328,0,62398.93328,1200,1717.952021,42,7.722967903,kernel,123187.9017,61343.32872,60498.98481,52,62464.41597,59870.76212,6020.651195,1200,10799.279,102.1521888,highs+presolve
2025-02-20,79914.2004,929.3533153,752.7761854,0,8744.489539,1200,1200,61725.21742,0,61725.21742,1200,1429.02348,43,7.796786083,kernel,122473.5969,60908.93018,60287.92537,61,61785.84446,59683.58047,5341.363077,1200,10797.53992,158.0799699,highs+presolve
