date,plan_kwh,storage_start_kwh,near_storage_end_kwh,far_storage_end_kwh,near_emergency_kwh,far_emergency_kwh,near_daily_cost_yuan,far_daily_cost_yuan
2025-02-01,47842.94081,1200,1200,10596.20783,0,0,35629.80162,35629.80162
2025-03-01,42394.69383,1200,1200,10711.67567,21.56748333,21.5674833,31211.04083,31211.04083
2025-04-01,65508.36976,1200,1200,5770.098787,0,0,50823.16863,50823.16863
2025-05-01,60501.23499,1200,1200,6254.104449,0,0,46182.88442,46182.88442
2025-06-01,62017.6747,1200,1200,1200,9646.874747,9646.874743,83930.93565,83930.93564
2025-07-01,77700.50495,1200,1200,1200,2400.247509,2400.247507,64704.67886,64704.67886
2025-08-01,50283.13857,1200,1200,10799.76609,0,0,37105.05227,37105.05227
2025-09-01,75571.2687,1200,1200,3892.813308,0,0,58705.8807,58705.8807
2025-10-01,69825.30049,1200,1200,2724.658667,0,0,55005.58281,55005.58281
2025-11-01,40962.93692,1200,1200,10624.54261,0,0,30503.64394,30503.64394
2025-12-01,90756.06759,1200,1200,4135.615181,0,0,68835.84572,68835.84572
