date,pool_size,converged,converged_round,max_adjacent_difference_yuan,mean_adjacent_difference_yuan,min_adjacent_difference_yuan,max_slope_positive_violation,max_slope_monotone_violation_interior,boundary_slope_jump,canonical_tangent_count,effective_tangent_count,value_at_s_min_yuan,value_at_s_max_yuan,round,n_points,grid_step,new_effective_tangents,envelope_increase_yuan,max_envelope_deficit_yuan
2025-02-01,24,True,4,361.393825,200.2433088,134.0800508,8.624476959e-07,0,0.05687570579,5,5,37616.05568,36815.08245,0,5,2400,-1,-1,0
2025-02-01,24,True,4,277.2811656,100.1216544,66.34946983,8.624476959e-07,0,0.05585965934,9,9,37616.05568,36815.08245,1,9,1200,4,2.522534404,0
2025-02-01,24,True,4,187.8433531,50.06082721,32.97379509,8.624476959e-07,0,0.05511378165,17,17,37616.05568,36815.08245,2,17,600,8,63.69462596,0
2025-02-01,24,True,4,114.8510711,25.0304136,16.47420152,8.624476959e-07,0,0.05495335809,33,33,37616.05568,36815.08245,3,33,300,16,17.35815503,0
2025-02-01,24,True,4,61.77037395,12.5152068,8.231930661,8.624476959e-07,0,0.05492036384,63,63,37616.05568,36815.08245,4,65,150,30,7.192632837,7.275957614e-12
2025-02-02,25,True,4,1118.334873,495.9807023,0.008749943852,5.598368501e-07,0,4.72230734e-05,5,5,69790.14251,67806.2197,0,5,2400,-1,-1,0
2025-02-02,25,True,4,566.234987,247.9903512,2.043379936e-07,5.598368501e-07,0,5.596666023e-07,9,9,69790.14251,67806.2197,1,9,1200,4,35.21508094,0
2025-02-02,25,True,4,283.2006472,123.9951756,1.021253411e-07,5.598368501e-07,0,5.596666023e-07,15,15,69790.14251,67806.2197,2,17,600,6,37.17861123,0
2025-02-02,25,True,4,141.6003312,61.99758781,5.104811862e-08,5.598368501e-07,0,5.596666023e-07,26,26,69790.14251,67806.2197,3,33,300,11,6.841173711,1.455191523e-11
2025-02-02,25,True,4,70.80016565,30.99879391,2.548040356e-08,5.598368501e-07,0,5.596666023e-07,41,41,69790.14251,67806.2197,4,65,150,15,1.058035941,2.910383046e-11
2025-02-03,26,True,4,1135.127828,721.9527381,73.79763248,3.222307242e-07,0,0.06311713824,5,5,68397.38396,65509.57301,0,5,2400,-1,-1,0
2025-02-03,26,True,4,568.9137102,360.9763691,15.84552469,3.222307242e-07,0,0.0322939059,9,9,68397.38396,65509.57301,1,9,1200,4,52.99936646,7.275957614e-12
2025-02-03,26,True,4,284.6645235,180.4881845,0.1188471702,3.222307242e-07,0,0.0004470286002,15,15,68397.38396,65509.57301,2,17,600,6,6.602756948,7.275957614e-12
2025-02-03,26,True,4,142.364342,90.24409226,0.01247405784,3.222307242e-07,0,4.217449086e-05,25,25,68397.38396,65509.57301,3,33,300,10,1.912050783,2.910383046e-11
2025-02-03,26,True,4,71.18347966,45.12204613,0.0062160323,3.222307242e-07,0,4.182671494e-05,48,48,68397.38396,65509.57301,4,65,150,23,1.275849352,2.910383046e-11
2025-02-04,27,True,4,1132.523154,675.3735831,81.26557377,5.015203977e-07,0,0.09464784113,5,5,67680.14301,64978.64868,0,5,2400,-1,-1,0
2025-02-04,27,True,4,567.6878775,337.6867916,26.20451532,5.015203977e-07,0,0.03760518723,9,9,67680.14301,64978.64868,1,9,1200,4,40.96476529,0
2025-02-04,27,True,4,284.4558053,168.8433958,11.66113189,5.015203977e-07,0,0.01990532445,16,16,67680.14301,64978.64868,2,17,600,7,9.731412541,2.910383046e-11
2025-02-04,27,True,4,142.3003323,84.42169789,5.749882841,5.015203977e-07,0,0.019536915,28,28,67680.14301,64978.64868,3,33,300,12,4.419387581,2.910383046e-11
2025-02-04,27,True,4,71.15016615,42.21084894,2.831585528,5.015203977e-07,0,0.0190489701,50,50,67680.14301,64978.64868,4,65,150,22,1.721156802,5.820766091e-11
2025-02-05,28,True,4,1118.642845,600.5778646,60.25043372,5.947427962e-07,0,0.07273064038,5,5,67473.42996,65071.1185,0,5,2400,-1,-1,7.275957614e-12
2025-02-05,28,True,4,565.985954,300.2889323,19.07231233,5.947427962e-07,0,0.02874532664,9,9,67473.42996,65071.1185,1,9,1200,4,42.29928495,7.275957614e-12
2025-02-05,28,True,4,283.1177633,150.1444662,8.430581157,5.947427962e-07,0,0.01645733854,17,17,67473.42996,65071.1185,2,17,600,8,16.51149793,7.275957614e-12
2025-02-05,28,True,4,141.6003322,75.07223308,3.53987078,5.947427962e-07,0,0.01614121051,31,31,67473.42996,65071.1185,3,33,300,14,5.623234008,1.455191523e-11
2025-02-05,28,True,4,70.80016611,37.53611654,1.158369875,5.947427962e-07,0,0.0158561142,55,55,67473.42996,65071.1185,4,65,150,24,1.911729082,4.365574569e-11
2025-02-06,29,True,4,1123.107241,635.15659,78.55766653,4.487196101e-07,0,0.0574033523,5,5,67771.87383,65231.24747,0,5,2400,-1,-1,0
2025-02-06,29,True,4,566.1949677,317.578295,22.08487383,4.487196101e-07,0,0.02703559715,9,9,67771.87383,65231.24747,1,9,1200,4,36.03459288,0
2025-02-06,29,True,4,283.1944906,158.7891475,6.800411429,4.487196101e-07,0,0.02452360048,17,17,67771.87383,65231.24747,2,17,600,8,26.94853149,0
2025-02-06,29,True,4,141.6003327,79.39457375,0.4001991494,4.487196101e-07,0,0.001406955255,29,29,67771.87383,65231.24747,3,33,300,12,5.842358741,7.275957614e-12
2025-02-06,29,True,4,70.80016637,39.69728687,0.1903926706,4.487196101e-07,0,0.001393211056,55,55,67771.87383,65231.24747,4,65,150,26,1.698766705,1.455191523e-11
2025-02-07,30,True,4,737.779451,468.2304374,346.5936804,4.496580033e-07,0,0.1477265952,5,5,40083.92656,38211.00481,0,5,2400,-1,-1,0
2025-02-07,30,True,4,496.4854856,234.1152187,170.9706901,4.496580033e-07,0,0.1448706736,9,9,40083.92656,38211.00481,1,9,1200,4,40.76342299,0
2025-02-07,30,True,4,267.5869407,117.0576094,84.87547672,4.496580033e-07,0,0.1424336455,17,17,40083.92656,38211.00481,2,17,600,8,27.59782663,0
2025-02-07,30,True,4,137.9014801,58.52880468,42.33630544,4.496580033e-07,0,0.1414142969,33,33,40083.92656,38211.00481,3,33,300,16,7.44339248,0
2025-02-07,30,True,4,69.32233034,29.26440234,21.12726062,4.496580033e-07,0,0.1411490644,65,65,40083.92656,38211.00481,4,65,150,32,2.06103433,0
2025-02-08,31,True,4,762.0387599,279.9147601,109.1052377,4.946625948e-07,0,0.04644557814,5,5,36021.4602,34901.80116,0,5,2400,-1,-1,0
2025-02-08,31,True,4,494.2448894,139.9573801,53.84577528,4.946625948e-07,0,0.04563862993,9,9,36021.4602,34901.80116,1,9,1200,4,92.89893411,0
2025-02-08,31,True,4,248.4133981,69.97869003,26.72376449,4.946625948e-07,0,0.04500357501,17,17,36021.4602,34901.80116,2,17,600,8,16.11644025,0
2025-02-08,31,True,4,124.6465811,34.98934501,13.31765528,4.946625948e-07,0,0.04443381485,32,32,36021.4602,34901.80116,3,33,300,15,1.632482427,0
2025-02-08,31,True,4,62.76313715,17.49467251,6.653916422,4.946625948e-07,0,0.04436488646,62,62,36021.4602,34901.80116,4,65,150,30,1.721749867,0
2025-02-09,32,True,4,1041.780096,481.6077045,54.29136745,3.871072327e-07,0,0.07900682022,5,5,66321.67296,64395.24214,0,5,2400,-1,-1,0
2025-02-09,32,True,4,549.1755183,240.8038522,15.29387186,3.871072327e-07,0,0.01546318727,9,9,66321.67296,64395.24214,1,9,1200,4,112.2751466,0
2025-02-09,32,True,4,281.3661123,120.4019261,6.57151951,3.871072327e-07,0,0.01431292516,17,17,66321.67296,64395.24214,2,17,600,8,9.28358952,0
2025-02-09,32,True,4,141.4948197,60.20096306,2.444096234,3.871072327e-07,0,0.01281389099,33,33,66321.67296,64395.24214,3,33,300,16,11.4917919,7.275957614e-12
