question,configuration,strategy,cost_normal,cost_adjust,cost_emergency,cost_total_yuan,emergency_kwh
3,A,M0,17760906.92,0.0,195099.41,17956006.33,57497.6
3,A,M1,18086866.6,788125.31,206282.3,19081274.21,56285.67
3,A,M2,17684240.88,901401.0,237948.84,18823590.72,67255.31
3,A,M3,17599865.6,953569.76,222941.82,18776377.18,61533.1
4,A,4-2_causal_C2,18419605.09,0.0,207993.83,18627598.91,56788.04
4,A,4-3_causal_C3,18221466.71,976599.02,200663.34,19398729.07,58892.72
4,A,4-2_perfect_PI2,18416120.72,0.0,218086.89,18634207.61,58749.81
4,A,4-3_perfect_PI3,18213462.02,978320.68,207269.67,19399052.37,60316.14
3,B,M0,13116034.51,0.0,1409013.75,14525048.26,256340.79
3,B,M1,13312117.39,466486.9,998347.67,14776951.96,172373.22
3,B,M2,13062200.46,495899.07,1138814.64,14696914.17,201651.28
3,B,M3,12987330.84,655651.47,1014041.76,14657024.06,186491.6
4,B,4-2_causal_C2,13930851.92,0.0,1254057.18,15184909.1,224495.95
4,B,4-3_causal_C3,13747143.06,666475.38,922474.67,15336093.11,166946.33
4,B,4-2_perfect_PI2,13718965.75,0.0,1324120.9,15043086.65,236228.52
4,B,4-3_perfect_PI3,13553217.88,649134.18,972214.65,15174566.71,178500.98
3,C,M0,13170532.72,0.0,3504446.96,16674979.68,625327.62
3,C,M1,13610708.93,515240.06,2692037.26,16817986.25,459920.67
3,C,M2,13457791.08,517701.17,2466474.56,16441966.81,438135.48
3,C,M3,13557168.92,698823.92,1454537.41,15710530.25,278769.04
4,C,4-2_causal_C2,13999058.87,0.0,3105639.03,17104697.9,567133.21
4,C,4-3_causal_C3,14231709.92,693134.16,1363567.7,16288411.77,258399.36
4,C,4-2_perfect_PI2,13754119.0,0.0,3306561.78,17060680.78,596602.42
4,C,4-3_perfect_PI3,14044471.24,681664.86,1421261.31,16147397.41,272837.76
