date,question,configuration,normal_plus_adjust_yuan,emergency_kwh,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh,absolute_adjustment_kwh
2025-02-01,3,A,36086.938507,243.279101,12455.180467,10246.543662,6911.349538,6735.963444,7035.407928999999
2025-02-02,3,A,71338.154341,0.0,10436.207578,8356.878955,6735.963444,6843.129202,6734.931412000001
2025-02-03,3,A,71752.824564,0.0,7556.990142000001,4194.72787,6843.129202,8983.611584,5586.360703
2025-02-04,3,A,74108.004172,0.0,7184.635681,5781.719976,8983.611584,9025.650389,9365.374002
2025-02-05,3,A,70990.522475,0.0,7154.830630000001,5445.302360999999,9025.650389,9414.662,3694.8138120000003
2025-02-06,3,A,72155.808372,0.0,7743.247755999999,9131.12038,9414.662,6237.895668,10998.162862999998
2025-02-07,3,A,37320.091289,0.0,14140.37324,10077.434277,6237.895668,7767.082387,3251.1350860000002
2025-02-08,3,A,37576.123959,0.0,13259.025416,9072.175525,7767.082387,9620.010233,3210.2839749999994
2025-02-09,3,A,69703.507844,0.0,7342.506490999999,8754.443710000001,9620.010233,6501.106396,7572.734723
2025-02-10,3,A,65174.138888,0.0,8179.139964999999,8919.285875000001,6501.106396,3952.014724,9130.064344999999
2025-02-11,3,A,68681.396479,0.0,8941.613475999999,4477.466066999999,3952.014724,7024.504557,6208.507159999999
2025-02-12,3,A,67242.319425,0.0,7582.272696,5683.134268,7024.504557,7533.956351,4398.663393000001
2025-02-13,3,A,67393.764926,0.0,10574.936233,7131.880335999999,7533.956351,9127.087478,7786.955689
2025-02-14,3,A,32839.505008,63.770769,12941.337246000001,14231.030651000003,9127.087478,4962.034718,6232.027171
2025-02-15,3,A,33004.342611,667.342472,13259.313509000001,9249.585775,4962.034718,6618.099347,3581.2904550000003
2025-02-16,3,A,64545.508007,0.0,6189.4357390000005,7609.1029229999995,6618.099347,3734.032709,7302.792881000001
2025-02-17,3,A,66504.631837,0.0,11322.22373,8265.950026,3734.032709,4739.645148,9193.986308000001
2025-02-18,3,A,66852.882001,0.0,9524.484349,6627.837238,4739.645148,5947.417465,9716.269413
2025-02-19,3,A,67126.635432,0.0,10269.37944,9410.076973000001,5947.417465,4734.217881,9726.272688
2025-02-20,3,A,65202.566463,0.0,9095.258522,5570.415330000001,4734.217881,6730.600184,8779.047046
2025-02-21,3,A,35192.892341,5.681667,15876.38606,11529.243911,6730.600184,8209.076626,4475.281392000001
2025-02-22,3,A,36430.689291,0.0,15341.384405,11228.581071,8209.076626,9540.121401,3024.086474
2025-02-23,3,A,66673.837548,0.0,9402.174838,10590.412944,9540.121401,6234.953261,8425.532746
2025-02-24,3,A,63085.668741,0.0,11188.929164,11211.604623000001,6234.953261,3847.651037,7773.092154
2025-02-25,3,A,67712.333794,0.0,13804.025639,10647.91232,3847.651037,4440.260422,8562.834555
2025-02-26,3,A,67529.128509,0.0,11307.139094,4014.720559,4440.260422,10155.884985,8847.736497000002
2025-02-27,3,A,62971.55377,0.0,10861.371546,14437.188583999998,10155.884985,3889.798727,11399.448145000002
2025-02-28,3,A,33920.613777,66.737526,15458.459116999999,10232.049078,3889.798727,6433.468512,4908.849722
2025-03-01,3,A,30736.299038,652.707254,15033.85082,16613.866602,6433.468512,1504.08247,6975.917334
2025-03-02,3,A,66161.617752,0.0,9515.915878000002,5952.995348,1504.08247,3453.967484,11643.738782
2025-03-03,3,A,63246.926627,0.0,6493.246545,6041.575246,3453.967484,2585.027991,14074.542193
2025-03-04,3,A,63447.481806,0.0,8364.267734,4896.516281,2585.027991,4672.295306,6689.99692
2025-03-05,3,A,63005.244896,0.0,10587.418773,6942.061975,4672.295306,6487.570008,7814.298057
2025-03-06,3,A,60781.153239,0.0,8070.755909,5234.0623350000005,6487.570008,7935.62551,3611.8840610000007
2025-03-07,3,A,30376.308927,99.59486100000001,13187.744202000002,10228.826344,7935.62551,8439.232687,3854.1297379999996
2025-03-08,3,A,30232.235157,698.111444,14483.975389,11352.80586,8439.232687,8860.581804,3532.5023060000003
2025-03-09,3,A,58934.732271,0.0,9465.091764,5921.247951999999,8860.581804,10800.0,5160.396165
2025-03-10,3,A,61312.479021,0.0,6830.449383,7742.568703,10800.0,8344.550331,5045.42676
2025-03-11,3,A,64668.917515,11.495,11394.377205,8577.52945,8344.550331,9068.901539,7993.788181000001
