question,configuration,month,t,interval_start,mean_GF_minus_G0_kwh
3,B,2,1,00:00,0.0
3,B,2,2,00:10,0.0
3,B,2,3,00:20,0.0
3,B,2,4,00:30,0.0
3,B,2,5,00:40,0.0
3,B,2,6,00:50,0.0
3,B,2,7,01:00,0.0
3,B,2,8,01:10,0.0
3,B,2,9,01:20,0.0
3,B,2,10,01:30,0.0
3,B,2,11,01:40,0.0
3,B,2,12,01:50,0.0
3,B,2,13,02:00,0.0
3,B,2,14,02:10,0.0
3,B,2,15,02:20,0.0
3,B,2,16,02:30,0.0
3,B,2,17,02:40,0.0
3,B,2,18,02:50,0.0
3,B,2,19,03:00,0.0
3,B,2,20,03:10,0.0
3,B,2,21,03:20,0.0
3,B,2,22,03:30,0.0
3,B,2,23,03:40,0.0
3,B,2,24,03:50,0.0
3,B,2,25,04:00,0.0
3,B,2,26,04:10,0.0
3,B,2,27,04:20,0.0
3,B,2,28,04:30,0.0
3,B,2,29,04:40,0.0
3,B,2,30,04:50,0.0
3,B,2,31,05:00,0.0
3,B,2,32,05:10,0.0
3,B,2,33,05:20,0.0
3,B,2,34,05:30,0.0
3,B,2,35,05:40,0.0
3,B,2,36,05:50,0.0
3,B,2,37,06:00,-24.265722535714282
3,B,2,38,06:10,-28.459065892857137
3,B,2,39,06:20,-73.19350921428574
3,B,2,40,06:30,-41.23411207142858
3,B,2,41,06:40,-28.02008507142857
3,B,2,42,06:50,-11.867946821428578
3,B,2,43,07:00,-6.7447374285714305
3,B,2,44,07:10,-4.331592357142853
3,B,2,45,07:20,10.966592892857141
3,B,2,46,07:30,17.006649035714286
3,B,2,47,07:40,9.940957749999995
3,B,2,48,07:50,0.26329649999999855
3,B,2,49,08:00,0.45417571428571435
3,B,2,50,08:10,-0.4768588214285714
3,B,2,51,08:20,-3.2394707142857144
3,B,2,52,08:30,-4.7337234285714285
3,B,2,53,08:40,-3.6435217142857144
3,B,2,54,08:50,0.0
3,B,2,55,09:00,0.0
3,B,2,56,09:10,0.0
3,B,2,57,09:20,-6.958360535714285
3,B,2,58,09:30,-11.77364739285714
3,B,2,59,09:40,-12.274150821428572
3,B,2,60,09:50,0.0
3,B,2,61,10:00,0.0
3,B,2,62,10:10,-14.326504178571428
3,B,2,63,10:20,-14.055245785714286
3,B,2,64,10:30,-6.5490230714285715
3,B,2,65,10:40,-33.872700428571434
3,B,2,66,10:50,-36.8443059642857
3,B,2,67,11:00,-24.72448553571428
3,B,2,68,11:10,-19.549680642857144
3,B,2,69,11:20,-33.125687607142844
3,B,2,70,11:30,-38.303293535714296
3,B,2,71,11:40,-37.493520785714296
3,B,2,72,11:50,-24.05873049999999
3,B,2,73,12:00,-35.84086260714286
3,B,2,74,12:10,-200.60352789285722
3,B,2,75,12:20,-63.85837864285715
3,B,2,76,12:30,-56.505496571428544
3,B,2,77,12:40,-66.27348932142857
3,B,2,78,12:50,-53.30523817857143
3,B,2,79,13:00,-67.58918064285714
