question,configuration,month,days,mean_daily_normal_plus_adjust_yuan,mean_daily_emergency_kwh,total_emergency_kwh,mean_soc_2400_kwh
3,A,2,28,58539.87087039285,37.386126250000004,1046.811535,6749.426315571428
3,A,3,31,51569.505858419354,105.92129796774195,3283.5602370000006,7605.799544774194
3,A,4,30,48960.02849943334,68.94462676666666,2068.3388029999996,8161.816666033334
3,A,5,31,49689.91746319355,49.48100174193548,1533.911054,7485.82083051613
3,A,6,30,60218.00758063334,44.03965443333333,1321.189633,8022.098856266666
3,A,7,31,62651.00270970967,820.5561639354838,25437.241081999997,6735.798958935483
3,A,8,31,57880.485829870966,184.32621829032257,5714.112767,7734.094732645162
3,A,9,30,51500.82543916666,265.69558563333334,7970.867569000001,5999.024400866667
3,A,10,31,49418.19994641936,225.43912635483872,6988.612917,6725.474134096775
3,A,11,30,54754.010357566665,91.30103403333332,2739.031021,4411.526420499999
3,A,12,31,65930.65645751615,110.62659477419355,3429.424438,6667.272345806451
4-2,A,2,28,59699.26162196428,5.979889785714286,167.436914,6394.915706464286
4-2,A,3,31,47685.820761548384,99.84092293548387,3095.068611,7506.405136677418
4-2,A,4,30,41922.039538066674,71.22363736666667,2136.709121,7642.409232833333
4-2,A,5,31,40556.32381712903,126.88569990322577,3933.4566969999987,7415.748092612902
4-2,A,6,30,57672.52473243333,146.83824349999998,4405.1473049999995,7690.1353374
4-2,A,7,31,68429.88617135485,626.183542967742,19411.689832000004,7197.157950741938
4-2,A,8,31,62566.9855431613,45.36783758064516,1406.402965,7809.964694354837
4-2,A,9,30,49644.34205056668,333.4120532999999,10002.361598999998,6686.776657366669
4-2,A,10,31,49369.02063880645,51.60938432258064,1599.8909139999998,7282.395978354838
4-2,A,11,30,55451.45881339999,26.143996833333336,784.3199050000001,5689.2988423666675
4-2,A,12,31,73563.40841864515,317.59852774193547,9845.55436,7116.710590838709
4-3,A,2,28,60392.87684899999,13.720391392857143,384.17095900000004,6973.38203775
4-3,A,3,31,50565.47971145161,90.46926835483872,2804.5473190000002,7627.8558127741935
4-3,A,4,30,46924.30076766666,68.82821556666666,2064.846467,8212.8569256
4-3,A,5,31,47212.42368651613,30.819939483870968,955.418124,7757.94767296774
4-3,A,6,30,61842.17342483334,99.64527663333334,2989.358299,7918.3377949666665
4-3,A,7,31,71000.94401354837,639.3372269677418,19819.454035999996,6788.636350290324
4-3,A,8,31,63920.433780129024,259.14954032258066,8033.63575,7634.788446870968
4-3,A,9,30,51404.6283394,291.08143429999996,8732.443028999998,6291.923769400001
4-3,A,10,31,48848.929656451604,254.388763967742,7886.0516830000015,6626.710984516129
4-3,A,11,30,55790.4198964,35.73673286666667,1072.1019860000001,4841.294213066667
4-3,A,12,31,74200.8054558387,133.8931872580645,4150.688805,6709.293654645161
3,B,2,28,43787.26527757143,641.4570479642858,17960.797343000002,3808.216757357143
3,B,3,31,37199.36911245162,502.88929377419356,15589.568107000001,7094.091776129032
3,B,4,30,32526.650613566664,368.0830412333333,11042.491236999998,7507.421392000001
3,B,5,31,32707.54429732258,392.04918512903225,12153.524739,7337.209153387096
3,B,6,30,44100.4218576,370.27605,11108.2815,7535.5159558666655
3,B,7,31,48145.80988196775,969.9836241612903,30069.492349,5603.6528555161285
3,B,8,31,42401.03786125806,430.5483843225807,13346.999914000002,6659.481301935483
3,B,9,30,36793.73235856667,1052.347045,31570.41135,5361.389973266665
3,B,10,31,35911.731689838714,710.6526621935484,22030.232528,5362.458862903227
3,B,11,30,42842.75608896667,385.8692369000001,11576.077107000003,5468.492777033333
3,B,12,31,52958.12168180645,323.9911566129033,10043.725855000002,5317.367993612903
4-2,B,2,28,47041.7994,74.54223007142856,2087.182442,7893.082874178572
4-2,B,3,31,35326.89120167742,745.6636563548385,23115.573346999994,7902.956292935483
4-2,B,4,30,28914.716242533337,487.2658699333333,14617.976098,7233.4665258
4-2,B,5,31,28246.630365322584,877.2028557741935,27193.288528999998,6527.43550780645
4-2,B,6,30,44878.660611100015,724.6926703,21740.780109,5760.3268652
4-2,B,7,31,53328.96047703225,1620.3944532258063,50232.22805,5725.874583258065
4-2,B,8,31,46535.39247554839,106.99187770967742,3316.7482090000003,6495.207604451612
4-2,B,9,30,36654.54319710001,886.2187839666666,26586.563519,5965.253174533334
4-2,B,10,31,36022.10102229032,369.7763483548387,11463.066799,6441.332975193548
4-2,B,11,30,42925.4197908,424.5492490333334,12736.477471000002,6230.669125266667
4-2,B,12,31,59007.164456290324,1013.099027064516,31406.069838999996,7304.975477806452
4-3,B,2,28,46594.973317571435,587.7580288928572,16457.224809,5394.902181392856
4-3,B,3,31,37395.08320187097,453.42750309677416,14056.252595999998,6885.5022069677425
4-3,B,4,30,31847.45746923333,353.32586863333347,10599.776059000003,6443.406258599998
4-3,B,5,31,31605.653383290322,376.2332192903226,11663.229798,5562.568635225807
4-3,B,6,30,46676.0085301,382.3865912333334,11471.597737000002,5075.596720266666
4-3,B,7,31,55013.501572387104,874.4694963225807,27108.554386,4393.142129677419
4-3,B,8,31,47193.051409870975,309.65435596774194,9599.285035,4547.780087741935
4-3,B,9,30,37308.1855785,983.1372358333332,29494.117074999995,5392.538771933334
4-3,B,10,31,36329.37130041936,583.5897729354839,18091.282961,6004.90368748387
4-3,B,11,30,44592.225985799996,285.8605777666666,8575.817332999999,5796.603917666667
4-3,B,12,31,60084.07655664515,317.0707691290322,9829.193843,6715.452349516129
3,C,2,28,44446.17470750001,647.6307800357142,18133.661840999997,3796.8955175
3,C,3,31,38334.574123483864,944.1887640322578,29269.851684999994,7081.7752579677435
3,C,4,30,34613.5235563,550.7787513666666,16523.362541,7663.4488322666675
3,C,5,31,34620.436229322586,517.6873550322581,16048.308006000001,7224.963795870969
3,C,6,30,46187.78337926666,570.9341110333332,17128.023330999997,7691.369835799999
3,C,7,31,49118.91341438709,1197.454267451613,37121.082291000006,5694.944786354839
3,C,8,31,43416.0819182258,678.1699556451612,21023.268624999997,6641.935268225808
3,C,9,30,38719.60618363334,1568.0143051333334,47040.429154000005,5517.684054466667
3,C,10,31,37944.97731109677,1132.693842903226,35113.509130000006,5493.5533627419345
3,C,11,30,46909.95183353334,815.7823182666666,24473.469547999997,5531.562361266666
3,C,12,31,55228.694450129035,544.970136516129,16894.074232,5333.047588322581
4-2,C,2,28,48163.178191000006,747.4456272500001,20928.477563000004,7088.146258142857
4-2,C,3,31,35382.95683109677,1454.655501451613,45094.320545,7705.74163951613
4-2,C,4,30,28994.950030233336,1289.7582650333331,38692.747951,7043.611000233333
4-2,C,5,31,28230.463430483873,1661.6620981290323,51511.525042,6240.513507193547
4-2,C,6,30,44893.17856126667,1394.2700775999997,41828.10232799999,5240.665251633333
4-2,C,7,31,53181.97636651614,2378.7582530645163,73741.505845,5179.04192364516
4-2,C,8,31,46877.700085129036,581.2457492580645,18018.618227,5895.409670870966
