初始储电量S_1(kWh),扫描层级,最优购电费用J(s)(元),相对全局最优额外费用E(s)(元),是否达到全局最优费用,求解状态,求解器状态码,求解器信息,迭代次数,实际初始储电量(kWh),实际日末储电量(kWh),全天购电量(kWh),全天充电量(kWh),全天放电量(kWh),逐时段能量平衡最大误差(kWh),储电递推最大误差(kWh),日循环误差(kWh),最大越界量(kWh),原始与对偶目标差(元),同时充放电时段数
1200,全范围粗扫,35202.2152559563,83.61666666668316,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),382,1200.0,1200.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
1400,全范围粗扫,35192.17081151185,73.57222222223936,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),386,1400.0,1400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
1600,全范围粗扫,35182.12636706741,63.52777777779556,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),385,1600.0,1600.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
1800,全范围粗扫,35172.08192262297,53.48333333335904,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),384,1800.0,1800.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
2000,全范围粗扫,35163.85414484519,45.255555555573665,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),383,2000.0,2000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
2200,全范围粗扫,35161.07636706741,42.47777777779993,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),382,2200.0,2200.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
2400,全范围粗扫,35158.29858928963,39.70000000001892,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),381,2400.0,2400.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
2600,全范围粗扫,35155.57081151186,36.97222222224809,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,2600.0,2600.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
2800,全范围粗扫,35153.126367067416,34.52777777780284,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,2800.0,2800.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
3000,全范围粗扫,35150.8152559563,32.21666666668898,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),381,3000.0,3000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
3200,全范围粗扫,35148.504144845196,29.905555555582396,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,3200.0,3200.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
3400,全范围粗扫,35146.20414484519,27.605555555579485,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,3400.0,3400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
3600,全范围粗扫,35144.098589289635,25.500000000021828,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,3600.0,3600.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,0.0,0
3800,全范围粗扫,35142.05414484519,23.45555555557803,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,3800.0,3800.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
4000,全范围粗扫,35140.00970040075,21.411111111134232,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),376,4000.0,4000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,0.0,0
4200,全范围粗扫,35138.098589289635,19.500000000021828,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,4200.0,4200.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
4400,全范围粗扫,35136.476367067415,17.877777777801384,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),370,4400.0,4400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
4600,全范围粗扫,35134.85414484519,16.255555555573665,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,4600.0,4600.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
4800,全范围粗扫,35133.23192262297,14.633333333353221,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),367,4800.0,4800.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
5000,全范围粗扫,35131.88192262297,13.283333333354676,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),369,5000.0,5000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
5200,全范围粗扫,35130.815255956295,12.216666666681704,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),368,5200.0,5200.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
5400,全范围粗扫,35129.74858928964,11.150000000023283,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),368,5400.0,5400.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
5600,全范围粗扫,35128.715255956304,10.116666666690435,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),366,5600.0,5600.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
5800,全范围粗扫,35127.8152559563,9.21666666668898,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),369,5800.0,5800.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
6000,全范围粗扫,35126.948589289634,8.350000000020373,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),368,6000.0,6000.0,59482.69899835391,20740.66613168725,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
6200,全范围粗扫,35126.08192262297,7.483333333359042,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),369,6200.0,6200.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
6400,全范围粗扫,35125.29303373408,6.694444444467081,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),365,6400.0,6400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
6600,全范围粗扫,35124.581922622965,5.983333333351766,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),369,6600.0,6600.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
6800,全范围粗扫,35123.87081151185,5.272222222236451,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,6800.0,6800.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,0.0,0
7000,全范围粗扫,35123.159700400734,4.561111111121136,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),369,7000.0,7000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7200,全范围粗扫,35122.46525595629,3.866666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),370,7200.0,7200.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
7400,全范围粗扫,35121.798589289625,3.2000000000116415,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),370,7400.0,7400.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7500,局部细扫,35121.46525595629,2.866666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),370,7500.0,7500.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7525,局部细扫,35121.38192262295,2.7833333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),370,7525.0,7525.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7550,局部细扫,35121.29858928962,2.7000000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),372,7550.0,7550.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7575,局部细扫,35121.21525595629,2.616666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),372,7575.0,7575.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7600,粗扫与细扫重合,35121.13192262295,2.5333333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),372,7600.0,7600.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7625,局部细扫,35121.04858928962,2.4500000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7625.0,7625.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7650,局部细扫,35120.96525595629,2.366666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7650.0,7650.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7675,局部细扫,35120.88192262295,2.2833333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),375,7675.0,7675.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7700,局部细扫,35120.79858928962,2.2000000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7700.0,7700.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7725,局部细扫,35120.71525595629,2.116666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7725.0,7725.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
